"gene","symbol","module","chromosome","gene_strand","TSS","promoter_start","promoter_end","erv_fragment_id","repeat_start","repeat_end","erv_strand","repName","repFamily","repeat_part","percent_divergence"
"ENSG00000116005.12","PCYOX1","blue","chr2","+",70257386,70255386,70257885,"chr2_70256194_70256285_MER34B",70256194,70256285,"-","MER34B","ERV1","LTR_or_other",19.9
"ENSG00000116005.12","PCYOX1","blue","chr2","+",70257386,70255386,70257885,"chr2_70257127_70257278_MER34B",70257127,70257278,"-","MER34B","ERV1","LTR_or_other",13.9
"ENSG00000120160.11","EQTN","black","chr9","-",27297150,27296651,27299150,"chr9_27297362_27297817_LTR3A",27297362,27297817,"-","LTR3A","ERVK","LTR_or_other",7
"ENSG00000175536.7","LIPT2","yellow","chr11","-",74493365,74492866,74495365,"chr11_74494106_74494550_LTR16",74494106,74494550,"-","LTR16","ERVL","LTR_or_other",27.9
"ENSG00000162631.20","NTNG1","turquoise","chr1","+",107140007,107138007,107140506,"chr1_107139259_107139680_MER92A",107139259,107139680,"+","MER92A","ERV1","LTR_or_other",24
"ENSG00000132915.12","PDE6A","grey","chr5","-",149944793,149944294,149946793,"chr5_149946717_149947405_MER21B",149946717,149947405,"+","MER21B","ERVL","LTR_or_other",16.4
"ENSG00000101951.17","PAGE4","grey","chrX","+",49829260,49827260,49829759,"chrX_49828006_49828496_MER31A",49828006,49828496,"-","MER31A","ERV1","LTR_or_other",12.2
"ENSG00000103034.15","NDRG4","grey","chr16","+",58462846,58460846,58463345,"chr16_58460882_58460968_MLT1N2",58460882,58460968,"+","MLT1N2","ERVL-MaLR","LTR_or_other",29
"ENSG00000139926.16","FRMD6","grey","chr14","+",51489100,51487100,51489599,"chr14_51487891_51488360_MLT1K",51487891,51488360,"-","MLT1K","ERVL-MaLR","LTR_or_other",27.1
"ENSG00000233121.1","VN1R20P","grey","chr3","+",13926813,13924813,13927312,"chr3_13923979_13925586_THE1C-int",13923979,13925586,"+","THE1C-int","ERVL-MaLR","internal",13
"ENSG00000233121.1","VN1R20P","grey","chr3","+",13926813,13924813,13927312,"chr3_13925587_13925963_THE1C",13925587,13925963,"+","THE1C","ERVL-MaLR","LTR_or_other",11.8
"ENSG00000009765.15","IYD","grey","chr6","+",150368892,150366892,150369391,"chr6_150366985_150367097_MLT1M",150366985,150367097,"-","MLT1M","ERVL-MaLR","LTR_or_other",26.6
"ENSG00000009765.15","IYD","grey","chr6","+",150368892,150366892,150369391,"chr6_150367626_150367937_MLT1A",150367626,150367937,"+","MLT1A","ERVL-MaLR","LTR_or_other",20.4
"ENSG00000009765.15","IYD","grey","chr6","+",150368892,150366892,150369391,"chr6_150368319_150368394_MLT1A",150368319,150368394,"+","MLT1A","ERVL-MaLR","LTR_or_other",20.4
"ENSG00000119673.16","ACOT2","yellow","chr14","+",73567620,73565620,73568119,"chr14_73565468_73566881_LTR12C",73565468,73566881,"-","LTR12C","ERV1","LTR_or_other",7.2
"ENSG00000119673.16","ACOT2","yellow","chr14","+",73567620,73565620,73568119,"chr14_73567335_73568063_LTR12_",73567335,73568063,"+","LTR12_","ERV1","LTR_or_other",12
"ENSG00000151790.9","TDO2","blue","chr4","+",155854738,155852738,155855237,"chr4_155852743_155852852_MLT1K",155852743,155852852,"+","MLT1K","ERVL-MaLR","LTR_or_other",27.8
"ENSG00000151790.9","TDO2","blue","chr4","+",155854738,155852738,155855237,"chr4_155852877_155853155_MLT1K",155852877,155853155,"+","MLT1K","ERVL-MaLR","LTR_or_other",30.9
"ENSG00000151790.9","TDO2","blue","chr4","+",155854738,155852738,155855237,"chr4_155854637_155855164_MLT2F",155854637,155855164,"+","MLT2F","ERVL","LTR_or_other",25.6
"ENSG00000172159.16","FRMD3","tan","chr9","-",83538546,83538047,83540546,"chr9_83539622_83539804_LTR16A",83539622,83539804,"+","LTR16A","ERVL","LTR_or_other",30.1
"ENSG00000153822.15","KCNJ16","grey","chr17","+",70053481,70051481,70053980,"chr17_70053396_70054106_LTR8",70053396,70054106,"-","LTR8","ERV1","LTR_or_other",18.1
"ENSG00000158486.14","DNAH3","blue","chr16","-",21159441,21158942,21161441,"chr16_21161301_21161611_MLT1J",21161301,21161611,"-","MLT1J","ERVL-MaLR","LTR_or_other",27.8
"ENSG00000283199.3","C13orf46","pink","chr13","-",113974076,113973577,113976076,"chr13_113973060_113973750_MER4A",113973060,113973750,"+","MER4A","ERV1","LTR_or_other",20.4
"ENSG00000283199.3","C13orf46","pink","chr13","-",113974076,113973577,113976076,"chr13_113974808_113975113_MLT1B",113974808,113975113,"-","MLT1B","ERVL-MaLR","LTR_or_other",24.6
"ENSG00000283199.3","C13orf46","pink","chr13","-",113974076,113973577,113976076,"chr13_113975174_113975255_MER34",113975174,113975255,"-","MER34","ERV1","LTR_or_other",15.8
"ENSG00000283199.3","C13orf46","pink","chr13","-",113974076,113973577,113976076,"chr13_113975862_113976149_THE1B",113975862,113976149,"-","THE1B","ERVL-MaLR","LTR_or_other",15.5
"ENSG00000183785.16","TUBA8","yellow","chr22","+",18110100,18108100,18110599,"chr22_18107872_18108249_MLT1B",18107872,18108249,"-","MLT1B","ERVL-MaLR","LTR_or_other",17.5
"ENSG00000169570.10","DTWD2","blue","chr5","-",118988547,118988048,118990547,"chr5_118989998_118990341_LTR56",118989998,118990341,"+","LTR56","ERV1","LTR_or_other",25.1
"ENSG00000114378.17","HYAL1","yellow","chr3","-",50312381,50311882,50314381,"chr3_50313340_50313494_MER4-int",50313340,50313494,"+","MER4-int","ERV1","internal",12.3
"ENSG00000114378.17","HYAL1","yellow","chr3","-",50312381,50311882,50314381,"chr3_50313797_50314006_MER4-int",50313797,50314006,"+","MER4-int","ERV1","internal",12.7
"ENSG00000114378.17","HYAL1","yellow","chr3","-",50312381,50311882,50314381,"chr3_50314007_50314445_MER4A1",50314007,50314445,"+","MER4A1","ERV1","LTR_or_other",13.5
"ENSG00000244383.2","FAM3D-AS1","grey","chr3","+",58607080,58605080,58607579,"chr3_58606877_58607078_MLT1K",58606877,58607078,"+","MLT1K","ERVL-MaLR","LTR_or_other",23.9
"ENSG00000244383.2","FAM3D-AS1","grey","chr3","+",58607080,58605080,58607579,"chr3_58607498_58607540_MLT1E1A",58607498,58607540,"+","MLT1E1A","ERVL-MaLR","LTR_or_other",16.3
"ENSG00000197405.8","C5AR1","cyan","chr19","+",47290023,47288023,47290522,"chr19_47288467_47288560_LTR101_Mam",47288467,47288560,"+","LTR101_Mam","ERVL","LTR_or_other",31.5
"ENSG00000197405.8","C5AR1","cyan","chr19","+",47290023,47288023,47290522,"chr19_47288796_47288910_LTR101_Mam",47288796,47288910,"+","LTR101_Mam","ERVL","LTR_or_other",25.9
"ENSG00000197405.8","C5AR1","cyan","chr19","+",47290023,47288023,47290522,"chr19_47289206_47289272_MER66B",47289206,47289272,"-","MER66B","ERV1","LTR_or_other",15
"ENSG00000197405.8","C5AR1","cyan","chr19","+",47290023,47288023,47290522,"chr19_47289570_47289947_MER66B",47289570,47289947,"-","MER66B","ERV1","LTR_or_other",15
"ENSG00000257210.1","NACAP8","grey","chr12","-",93124543,93124044,93126543,"chr12_93124677_93124790_MLT1J",93124677,93124790,"-","MLT1J","ERVL-MaLR","LTR_or_other",26.8
"ENSG00000257210.1","NACAP8","grey","chr12","-",93124543,93124044,93126543,"chr12_93125188_93125312_MLT1J",93125188,93125312,"-","MLT1J","ERVL-MaLR","LTR_or_other",30.1
"ENSG00000231829.4","ENSG00000231829","grey","chr10","-",95111642,95111143,95113642,"chr10_95111827_95112316_LTR64",95111827,95112316,"+","LTR64","ERV1","LTR_or_other",24.5
"ENSG00000259186.1","MRPS15P1","grey","chr15","-",73483943,73483444,73485943,"chr15_73485419_73485818_MSTA",73485419,73485818,"+","MSTA","ERVL-MaLR","LTR_or_other",15.2
"ENSG00000243417.1","RPS3AP18","grey","chr4","-",152552364,152551865,152554364,"chr4_152552632_152552735_HERV16-int",152552632,152552735,"-","HERV16-int","ERVL","internal",36.4
"ENSG00000243417.1","RPS3AP18","grey","chr4","-",152552364,152551865,152554364,"chr4_152553041_152553657_HERV16-int",152553041,152553657,"-","HERV16-int","ERVL","internal",36.4
"ENSG00000232077.2","LINC01031","grey","chr1","+",193304745,193302745,193305244,"chr1_193303152_193303551_MLT1A",193303152,193303551,"-","MLT1A","ERVL-MaLR","LTR_or_other",21.6
"ENSG00000232077.2","LINC01031","grey","chr1","+",193304745,193302745,193305244,"chr1_193304875_193305045_LTR12C",193304875,193305045,"-","LTR12C","ERV1","LTR_or_other",3.5
"ENSG00000232077.2","LINC01031","grey","chr1","+",193304745,193302745,193305244,"chr1_193305034_193305259_LTR12C",193305034,193305259,"-","LTR12C","ERV1","LTR_or_other",11.5
"ENSG00000179941.9","BBS10","brown","chr12","-",76348415,76347916,76350415,"chr12_76350292_76350834_MER41A",76350292,76350834,"-","MER41A","ERV1","LTR_or_other",5.2
"ENSG00000138134.12","STAMBPL1","turquoise","chr10","+",88879734,88877734,88880233,"chr10_88878324_88878536_MLT1N2",88878324,88878536,"-","MLT1N2","ERVL-MaLR","LTR_or_other",34.9
"ENSG00000245479.3","LINC01585","purple","chr15","+",90660207,90658207,90660706,"chr15_90659181_90659350_MLT1N2",90659181,90659350,"+","MLT1N2","ERVL-MaLR","LTR_or_other",31.3
"ENSG00000245479.3","LINC01585","purple","chr15","+",90660207,90658207,90660706,"chr15_90659443_90659576_MLT1N2",90659443,90659576,"+","MLT1N2","ERVL-MaLR","LTR_or_other",29
"ENSG00000245479.3","LINC01585","purple","chr15","+",90660207,90658207,90660706,"chr15_90660025_90660493_MLT1F",90660025,90660493,"+","MLT1F","ERVL-MaLR","LTR_or_other",16.3
"ENSG00000273108.1","ENSG00000273108","blue","chr10","+",103608619,103606619,103609118,"chr10_103608243_103608415_MLT1C",103608243,103608415,"+","MLT1C","ERVL-MaLR","LTR_or_other",20.5
"ENSG00000266932.1","ENSG00000266932","grey","chr19","-",56343419,56342920,56345419,"chr19_56343726_56344064_MER4-int",56343726,56344064,"-","MER4-int","ERV1","internal",9.1
"ENSG00000266932.1","ENSG00000266932","grey","chr19","-",56343419,56342920,56345419,"chr19_56344065_56344295_LTR8",56344065,56344295,"+","LTR8","ERV1","LTR_or_other",17.8
"ENSG00000266932.1","ENSG00000266932","grey","chr19","-",56343419,56342920,56345419,"chr19_56344296_56344490_MER4-int",56344296,56344490,"-","MER4-int","ERV1","internal",13.5
"ENSG00000266932.1","ENSG00000266932","grey","chr19","-",56343419,56342920,56345419,"chr19_56345129_56346607_MER4-int",56345129,56346607,"-","MER4-int","ERV1","internal",14.3
"ENSG00000287901.1","ENSG00000287901","blue","chr10","-",44310237,44309738,44312237,"chr10_44309490_44309982_MLT2B2",44309490,44309982,"-","MLT2B2","ERVL","LTR_or_other",17.2
"ENSG00000234937.1","ENSG00000234937","grey","chr1","+",155845367,155843367,155845866,"chr1_155842849_155844474_MER66-int",155842849,155844474,"+","MER66-int","ERV1","internal",20.1
"ENSG00000234937.1","ENSG00000234937","grey","chr1","+",155845367,155843367,155845866,"chr1_155844791_155845119_MER66-int",155844791,155845119,"+","MER66-int","ERV1","internal",20.1
"ENSG00000234937.1","ENSG00000234937","grey","chr1","+",155845367,155843367,155845866,"chr1_155845121_155845330_MER41B",155845121,155845330,"+","MER41B","ERV1","LTR_or_other",19.1
"ENSG00000227038.3","GTF2IP7","grey","chr7","-",76108779,76108280,76110779,"chr7_76108930_76109272_MER61A",76108930,76109272,"-","MER61A","ERV1","LTR_or_other",16.7
"ENSG00000074410.14","CA12","turquoise","chr15","-",63381846,63381347,63383846,"chr15_63382162_63382278_LTR8",63382162,63382278,"-","LTR8","ERV1","LTR_or_other",11.1
"ENSG00000074410.14","CA12","turquoise","chr15","-",63381846,63381347,63383846,"chr15_63382697_63382729_LTR8",63382697,63382729,"-","LTR8","ERV1","LTR_or_other",21.1
"ENSG00000074410.14","CA12","turquoise","chr15","-",63381846,63381347,63383846,"chr15_63383019_63383586_LTR8",63383019,63383586,"-","LTR8","ERV1","LTR_or_other",21.1
"ENSG00000204054.14","LINC00963","violet","chr9","+",129476946,129474946,129477445,"chr9_129475089_129475564_MLT1J",129475089,129475564,"+","MLT1J","ERVL-MaLR","LTR_or_other",30.2
"ENSG00000253755.1","IGHGP","paleturquoise","chr14","-",105669843,105669344,105671843,"chr14_105670159_105670264_MER92-int",105670159,105670264,"+","MER92-int","ERV1","internal",23.2
"ENSG00000253755.1","IGHGP","paleturquoise","chr14","-",105669843,105669344,105671843,"chr14_105670871_105671017_MER92-int",105670871,105671017,"+","MER92-int","ERV1","internal",21
"ENSG00000267507.1","ENSG00000267507","yellow","chr19","-",55120383,55119884,55122383,"chr19_55121508_55121675_MLT1J",55121508,55121675,"+","MLT1J","ERVL-MaLR","LTR_or_other",27.3
"ENSG00000267507.1","ENSG00000267507","yellow","chr19","-",55120383,55119884,55122383,"chr19_55121785_55121875_MLT1H",55121785,55121875,"+","MLT1H","ERVL-MaLR","LTR_or_other",19.9
"ENSG00000267507.1","ENSG00000267507","yellow","chr19","-",55120383,55119884,55122383,"chr19_55122175_55122232_MLT1H",55122175,55122232,"+","MLT1H","ERVL-MaLR","LTR_or_other",19.9
"ENSG00000174175.17","SELP","turquoise","chr1","-",169630193,169629694,169632193,"chr1_169631500_169631862_THE1B",169631500,169631862,"+","THE1B","ERVL-MaLR","LTR_or_other",13.5
"ENSG00000248113.2","ENSG00000248113","magenta","chr4","-",82581384,82580885,82583384,"chr4_82583170_82583393_MLT1K",82583170,82583393,"+","MLT1K","ERVL-MaLR","LTR_or_other",32.6
"ENSG00000196209.13","SIRPB2","cyan","chr20","-",1491587,1491088,1493587,"chr20_1492870_1493370_MLT1H",1492870,1493370,"-","MLT1H","ERVL-MaLR","LTR_or_other",24.3
"ENSG00000133317.16","LGALS12","green","chr11","+",63506052,63504052,63506551,"chr11_63503788_63504636_MER4D1",63503788,63504636,"+","MER4D1","ERV1","LTR_or_other",10.9
"ENSG00000003436.16","TFPI","brown","chr2","-",187565760,187565261,187567760,"chr2_187562815_187565376_HERVH-int",187562815,187565376,"-","HERVH-int","ERV1","internal",10
"ENSG00000003436.16","TFPI","brown","chr2","-",187565760,187565261,187567760,"chr2_187565381_187565695_HERVH-int",187565381,187565695,"-","HERVH-int","ERV1","internal",6.3
"ENSG00000003436.16","TFPI","brown","chr2","-",187565760,187565261,187567760,"chr2_187565698_187566148_LTR7",187565698,187566148,"-","LTR7","ERV1","LTR_or_other",6.5
"ENSG00000003436.16","TFPI","brown","chr2","-",187565760,187565261,187567760,"chr2_187566186_187566753_LTR24B",187566186,187566753,"+","LTR24B","ERV1","LTR_or_other",13.9
"ENSG00000213684.4","LDHBP2","magenta","chrX","-",76335845,76335346,76337845,"chrX_76335917_76335982_MSTA",76335917,76335982,"+","MSTA","ERVL-MaLR","LTR_or_other",9.1
"ENSG00000112530.12","PACRG","yellow","chr6","+",162727132,162725132,162727631,"chr6_162724567_162725191_LTR76",162724567,162725191,"+","LTR76","ERV1","LTR_or_other",9
"ENSG00000251191.8","LINC00589","greenyellow","chr8","-",29748109,29747610,29750109,"chr8_29747842_29747934_MLT1B",29747842,29747934,"+","MLT1B","ERVL-MaLR","LTR_or_other",15.6
"ENSG00000251191.8","LINC00589","greenyellow","chr8","-",29748109,29747610,29750109,"chr8_29747935_29748353_MSTA",29747935,29748353,"-","MSTA","ERVL-MaLR","LTR_or_other",12
"ENSG00000251191.8","LINC00589","greenyellow","chr8","-",29748109,29747610,29750109,"chr8_29748354_29748657_MLT1B",29748354,29748657,"+","MLT1B","ERVL-MaLR","LTR_or_other",15.6
"ENSG00000205959.4","ENSG00000205959","blue","chr4","+",8482270,8480270,8482769,"chr4_8480089_8480711_MER50",8480089,8480711,"-","MER50","ERV1","LTR_or_other",21.3
"ENSG00000205959.4","ENSG00000205959","blue","chr4","+",8482270,8480270,8482769,"chr4_8480712_8481498_MER4E1",8480712,8481498,"+","MER4E1","ERV1","LTR_or_other",7.5
"ENSG00000205959.4","ENSG00000205959","blue","chr4","+",8482270,8480270,8482769,"chr4_8481499_8481580_MER50",8481499,8481580,"-","MER50","ERV1","LTR_or_other",21.3
"ENSG00000205959.4","ENSG00000205959","blue","chr4","+",8482270,8480270,8482769,"chr4_8482399_8482842_LTR7",8482399,8482842,"-","LTR7","ERV1","LTR_or_other",5.4
"ENSG00000273972.1","ENSG00000273972","black","chr15","+",45702640,45700640,45703139,"chr15_45701474_45701810_LTR33B",45701474,45701810,"-","LTR33B","ERVL","LTR_or_other",29.6
"ENSG00000273972.1","ENSG00000273972","black","chr15","+",45702640,45700640,45703139,"chr15_45702856_45703228_MLT1A",45702856,45703228,"+","MLT1A","ERVL-MaLR","LTR_or_other",23
"ENSG00000186806.6","VSIG10L","red","chr19","-",51342139,51341640,51344139,"chr19_51343912_51344232_MLT1G1",51343912,51344232,"+","MLT1G1","ERVL-MaLR","LTR_or_other",25.9
"ENSG00000230658.2","KLHL7-DT","purple","chr7","-",23105703,23105204,23107703,"chr7_23107676_23107749_MLT1J",23107676,23107749,"-","MLT1J","ERVL-MaLR","LTR_or_other",26
"ENSG00000137809.17","ITGA11","green","chr15","-",68432163,68431664,68434163,"chr15_68433814_68433922_MLT1K",68433814,68433922,"+","MLT1K","ERVL-MaLR","LTR_or_other",26.7
"ENSG00000133321.11","PLAAT4","lightcyan","chr11","+",63536808,63534808,63537307,"chr11_63534736_63534826_MER21C",63534736,63534826,"-","MER21C","ERVL","LTR_or_other",9.1
"ENSG00000133321.11","PLAAT4","lightcyan","chr11","+",63536808,63534808,63537307,"chr11_63535629_63535799_MLT1L",63535629,63535799,"+","MLT1L","ERVL-MaLR","LTR_or_other",34.1
"ENSG00000188738.16","FSIP2","blue","chr2","+",185738804,185736804,185739303,"chr2_185736815_185737290_MLT1D",185736815,185737290,"+","MLT1D","ERVL-MaLR","LTR_or_other",24.2
"ENSG00000185033.15","SEMA4B","pink","chr15","+",90160604,90158604,90161103,"chr15_90159582_90159680_MLT1K",90159582,90159680,"-","MLT1K","ERVL-MaLR","LTR_or_other",32.3
"ENSG00000138376.11","BARD1","grey","chr2","-",214809683,214809184,214811683,"chr2_214811497_214811815_MLT1A",214811497,214811815,"+","MLT1A","ERVL-MaLR","LTR_or_other",22.7
"ENSG00000146278.11","PNRC1","brown","chr6","+",89080751,89078751,89081250,"chr6_89079376_89079667_LTR23",89079376,89079667,"-","LTR23","ERV1","LTR_or_other",11.8
"ENSG00000188542.10","DUSP28","blue","chr2","+",240560054,240558054,240560553,"chr2_240559232_240559386_MLT1L",240559232,240559386,"-","MLT1L","ERVL-MaLR","LTR_or_other",29.9
"ENSG00000285524.1","ENSG00000285524","greenyellow","chr7","+",153395484,153393484,153395983,"chr7_153392628_153396103_MER50-int",153392628,153396103,"+","MER50-int","ERV1","internal",18.6
"ENSG00000109452.13","INPP4B","grey","chr4","-",142847432,142846933,142849432,"chr4_142849342_142849549_MLT1O",142849342,142849549,"-","MLT1O","ERVL-MaLR","LTR_or_other",31.1
"ENSG00000132681.17","ATP1A4","blue","chr1","+",160151586,160149586,160152085,"chr1_160150930_160150975_LTR46",160150930,160150975,"+","LTR46","ERV1","LTR_or_other",5
"ENSG00000170379.21","TCAF2","pink","chr7","+",143702981,143700981,143703480,"chr7_143701193_143701392_LTR16E1",143701193,143701392,"-","LTR16E1","ERVL","LTR_or_other",24.4
"ENSG00000136881.12","BAAT","grey","chr9","-",101385400,101384901,101387400,"chr9_101384859_101386000_MER11A",101384859,101386000,"-","MER11A","ERVK","LTR_or_other",7.6
"ENSG00000231246.3","LINC02884","green","chr1","-",112360625,112360126,112362625,"chr1_112359759_112360169_LTR78B",112359759,112360169,"+","LTR78B","ERV1","LTR_or_other",26.8
"ENSG00000231246.3","LINC02884","green","chr1","-",112360625,112360126,112362625,"chr1_112360911_112361305_ERV3-16A3_LTR",112360911,112361305,"+","ERV3-16A3_LTR","ERVL","LTR_or_other",28.2
"ENSG00000176788.9","BASP1","turquoise","chr5","+",17065598,17063598,17066097,"chr5_17062037_17063599_LTR12C",17062037,17063599,"+","LTR12C","ERV1","LTR_or_other",10.7
"ENSG00000176788.9","BASP1","turquoise","chr5","+",17065598,17063598,17066097,"chr5_17063600_17063621_MER4B-int",17063600,17063621,"+","MER4B-int","ERV1","internal",13.7
"ENSG00000176788.9","BASP1","turquoise","chr5","+",17065598,17063598,17066097,"chr5_17063623_17063715_MER4B-int",17063623,17063715,"+","MER4B-int","ERV1","internal",14.4
"ENSG00000176788.9","BASP1","turquoise","chr5","+",17065598,17063598,17066097,"chr5_17064001_17065111_MER4B-int",17064001,17065111,"+","MER4B-int","ERV1","internal",14.4
"ENSG00000176788.9","BASP1","turquoise","chr5","+",17065598,17063598,17066097,"chr5_17065415_17065881_MER4B-int",17065415,17065881,"+","MER4B-int","ERV1","internal",14.4
"ENSG00000176788.9","BASP1","turquoise","chr5","+",17065598,17063598,17066097,"chr5_17065882_17066382_LTR7",17065882,17066382,"-","LTR7","ERV1","LTR_or_other",6.9
"ENSG00000124588.22","NQO2","grey","chr6","+",2993931,2991931,2994430,"chr6_2992344_2992765_MER54A",2992344,2992765,"+","MER54A","ERVL","LTR_or_other",19.7
"ENSG00000124588.22","NQO2","grey","chr6","+",2993931,2991931,2994430,"chr6_2993860_2993900_MSTB1",2993860,2993900,"+","MSTB1","ERVL-MaLR","LTR_or_other",9.1
"ENSG00000124588.22","NQO2","grey","chr6","+",2993931,2991931,2994430,"chr6_2994075_2994449_MSTB1",2994075,2994449,"+","MSTB1","ERVL-MaLR","LTR_or_other",13
"ENSG00000258548.6","LINC00645","grey","chr14","+",27612577,27610577,27613076,"chr14_27608134_27611827_MER4B-int",27608134,27611827,"+","MER4B-int","ERV1","internal",16.3
"ENSG00000258548.6","LINC00645","grey","chr14","+",27612577,27610577,27613076,"chr14_27611830_27612284_MER4B-int",27611830,27612284,"+","MER4B-int","ERV1","internal",12.3
"ENSG00000258548.6","LINC00645","grey","chr14","+",27612577,27610577,27613076,"chr14_27612285_27612881_LTR66",27612285,27612881,"+","LTR66","ERVL","LTR_or_other",7.8
"ENSG00000258548.6","LINC00645","grey","chr14","+",27612577,27610577,27613076,"chr14_27612882_27613894_MER4B-int",27612882,27613894,"+","MER4B-int","ERV1","internal",12.3
"ENSG00000266853.1","ITM2BP1","grey","chr17","-",27613251,27612752,27615251,"chr17_27613290_27613701_MER61C",27613290,27613701,"-","MER61C","ERV1","LTR_or_other",10.5
"ENSG00000130045.17","NXNL2","turquoise","chr9","+",88534033,88532033,88534532,"chr9_88533106_88533598_MER34A",88533106,88533598,"-","MER34A","ERV1","LTR_or_other",29.6
"ENSG00000153113.24","CAST","brown","chr5","+",96525267,96523267,96525766,"chr5_96523614_96524030_MLT1J",96523614,96524030,"-","MLT1J","ERVL-MaLR","LTR_or_other",30.6
"ENSG00000088726.16","TMEM40","blue","chr3","-",12769457,12768958,12771457,"chr3_12767990_12769424_LTR12C",12767990,12769424,"-","LTR12C","ERV1","LTR_or_other",8
"ENSG00000088726.16","TMEM40","blue","chr3","-",12769457,12768958,12771457,"chr3_12770600_12771283_LTR13",12770600,12771283,"+","LTR13","ERVK","LTR_or_other",5.9
"ENSG00000088726.16","TMEM40","blue","chr3","-",12769457,12768958,12771457,"chr3_12771317_12771612_LTR13",12771317,12771612,"+","LTR13","ERVK","LTR_or_other",5.9
"ENSG00000173728.11","C1orf100","salmon","chr1","+",244352635,244350635,244353134,"chr1_244350618_244350709_HERV16-int",244350618,244350709,"-","HERV16-int","ERVL","internal",32.1
"ENSG00000173728.11","C1orf100","salmon","chr1","+",244352635,244350635,244353134,"chr1_244350717_244351134_LTR7",244350717,244351134,"+","LTR7","ERV1","LTR_or_other",7.6
"ENSG00000287671.1","ENSG00000287671","grey","chr17","+",21442805,21440805,21443304,"chr17_21441239_21441649_MSTB1",21441239,21441649,"+","MSTB1","ERVL-MaLR","LTR_or_other",16.6
"ENSG00000274333.4","ENSG00000274333","grey","chr21","+",5553637,5551637,5554136,"chr21_5554135_5554623_MER57E3",5554135,5554623,"-","MER57E3","ERV1","LTR_or_other",20.8
"ENSG00000243955.6","GSTA1","white","chr6","-",52803860,52803361,52805860,"chr6_52804525_52804828_MLT1D",52804525,52804828,"+","MLT1D","ERVL-MaLR","LTR_or_other",27.5
"ENSG00000230978.2","LINC00160","brown","chr21","-",34737204,34736705,34739204,"chr21_34739072_34739494_LTR16B2",34739072,34739494,"+","LTR16B2","ERVL","LTR_or_other",25.5
"ENSG00000213699.9","SLC35F6","brown","chr2","+",26764284,26762284,26764783,"chr2_26762412_26762690_MER4E1",26762412,26762690,"+","MER4E1","ERV1","LTR_or_other",6.8
"ENSG00000213699.9","SLC35F6","brown","chr2","+",26764284,26762284,26764783,"chr2_26762981_26763026_MER4E1",26762981,26763026,"+","MER4E1","ERV1","LTR_or_other",6.8
"ENSG00000213699.9","SLC35F6","brown","chr2","+",26764284,26762284,26764783,"chr2_26763038_26763252_MER4E1",26763038,26763252,"+","MER4E1","ERV1","LTR_or_other",6.5
"ENSG00000225698.4","IGHV3-72","brown","chr14","-",106791233,106790734,106793233,"chr14_106791745_106792079_MSTA",106791745,106792079,"+","MSTA","ERVL-MaLR","LTR_or_other",18.1
"ENSG00000225698.4","IGHV3-72","brown","chr14","-",106791233,106790734,106793233,"chr14_106792085_106793033_HERVL32-int",106792085,106793033,"-","HERVL32-int","ERVL","internal",29.1
"ENSG00000225698.4","IGHV3-72","brown","chr14","-",106791233,106790734,106793233,"chr14_106793060_106793413_LTR32",106793060,106793413,"-","LTR32","ERVL","LTR_or_other",24.4
"ENSG00000048545.17","GUCA1A","salmon","chr6","+",42173333,42171333,42173832,"chr6_42172052_42172150_MLT1I",42172052,42172150,"+","MLT1I","ERVL-MaLR","LTR_or_other",20.1
"ENSG00000283128.3","ENSG00000283128","greenyellow","chr7","-",155576833,155576334,155578833,"chr7_155578091_155578570_MLT2B3",155578091,155578570,"+","MLT2B3","ERVL","LTR_or_other",22.8
"ENSG00000152592.15","DMP1","grey","chr4","+",87650280,87648280,87650779,"chr4_87648385_87648586_MLT1G1",87648385,87648586,"+","MLT1G1","ERVL-MaLR","LTR_or_other",25.5
"ENSG00000152592.15","DMP1","grey","chr4","+",87650280,87648280,87650779,"chr4_87648648_87648721_MLT1G1",87648648,87648721,"+","MLT1G1","ERVL-MaLR","LTR_or_other",23
"ENSG00000238222.3","MKRN4P","yellow","chrX","+",40834485,40832485,40834984,"chrX_40833199_40833331_LTR75B",40833199,40833331,"+","LTR75B","ERVL","LTR_or_other",18.6
"ENSG00000238222.3","MKRN4P","yellow","chrX","+",40834485,40832485,40834984,"chrX_40833675_40833865_LTR75B",40833675,40833865,"+","LTR75B","ERVL","LTR_or_other",21.6
"ENSG00000238222.3","MKRN4P","yellow","chrX","+",40834485,40832485,40834984,"chrX_40833883_40834211_LTR40a",40833883,40834211,"-","LTR40a","ERVL","LTR_or_other",23
"ENSG00000117322.18","CR2","black","chr1","+",207454230,207452230,207454729,"chr1_207452841_207453300_MLT1F",207452841,207453300,"+","MLT1F","ERVL-MaLR","LTR_or_other",22.5
"ENSG00000254443.1","ENSG00000254443","pink","chr11","+",6362799,6360799,6363298,"chr11_6360856_6360947_MER50",6360856,6360947,"+","MER50","ERV1","LTR_or_other",13.1
"ENSG00000254443.1","ENSG00000254443","pink","chr11","+",6362799,6360799,6363298,"chr11_6360950_6361059_MER50-int",6360950,6361059,"+","MER50-int","ERV1","internal",19.3
"ENSG00000178257.4","PRM3","turquoise","chr16","-",11273629,11273130,11275629,"chr16_11274900_11274992_MLT1D",11274900,11274992,"+","MLT1D","ERVL-MaLR","LTR_or_other",19.5
