"gene","symbol_gtf","gene_type","chromosome","gene_start","gene_end","strand","gene_clean","TSS","gene_length"
"ENSG00000184357.5","H1-5","protein_coding","chr6",27866792,27867588,"-","ENSG00000184357",27867588,797
"ENSG00000275379.2","H3C11","protein_coding","chr6",27871845,27872346,"-","ENSG00000275379",27872346,502
"ENSG00000275126.2","H4C13","protein_coding","chr6",27873148,27873534,"-","ENSG00000275126",27873534,387
"ENSG00000197153.5","H3C12","protein_coding","chr6",27890315,27890826,"-","ENSG00000197153",27890826,512
"ENSG00000278677.2","H2AC17","protein_coding","chr6",27892699,27893185,"-","ENSG00000278677",27893185,487
"ENSG00000274641.2","H2BC17","protein_coding","chr6",27893425,27893891,"+","ENSG00000274641",27893425,467
"ENSG00000238610.1","RNU7-26P","snRNA","chr6",27897504,27897566,"-","ENSG00000238610",27897566,63
"ENSG00000168131.4","OR2B2","protein_coding","chr6",27911185,27912396,"-","ENSG00000168131",27912396,1212
"ENSG00000168126.3","OR2W6P","unprocessed_pseudogene","chr6",27937465,27938403,"+","ENSG00000168126",27937465,939
"ENSG00000124657.1","OR2B6","protein_coding","chr6",27957241,27958182,"+","ENSG00000124657",27957241,942
"ENSG00000214374.2","RPLP2P1","processed_pseudogene","chr6",27965175,27965514,"+","ENSG00000214374",27965175,340
"ENSG00000216629.1","OR2W4P","unprocessed_pseudogene","chr6",27977150,27978075,"+","ENSG00000216629",27977150,926
"ENSG00000217539.2","IQCB2P","processed_pseudogene","chr6",28010723,28012355,"+","ENSG00000217539",28010723,1633
"ENSG00000269293.4","ZSCAN16-AS1","lncRNA","chr6",28015122,28136848,"-","ENSG00000269293",28136848,121727
"ENSG00000199851.2","U3","snoRNA","chr6",28015738,28015777,"+","ENSG00000199851",28015738,40
"ENSG00000217315.1","OR2W2P","unprocessed_pseudogene","chr6",28033947,28034855,"+","ENSG00000217315",28033947,909
"ENSG00000187763.3","OR2B7P","unprocessed_pseudogene","chr6",28046434,28047367,"+","ENSG00000187763",28046434,934
"ENSG00000182477.5","OR2B8P","polymorphic_pseudogene","chr6",28053228,28054165,"-","ENSG00000182477",28054165,938
"ENSG00000220721.2","OR1F12","unprocessed_pseudogene","chr6",28073316,28074260,"+","ENSG00000220721",28073316,945
"ENSG00000272009.1","ENSG00000272009","lncRNA","chr6",28078792,28078972,"-","ENSG00000272009",28078972,181
"ENSG00000197279.5","ZNF165","protein_coding","chr6",28080568,28089563,"+","ENSG00000197279",28080568,8996
"ENSG00000219891.3","ZSCAN12P1","transcribed_unprocessed_pseudogene","chr6",28091137,28093664,"+","ENSG00000219891",28091137,2528
"ENSG00000196812.6","ZSCAN16","protein_coding","chr6",28107689,28130082,"+","ENSG00000196812",28107689,22394
"ENSG00000219392.2","ZNF602P","transcribed_unprocessed_pseudogene","chr6",28115163,28117139,"+","ENSG00000219392",28115163,1977
"ENSG00000261839.1","ENSG00000261839","lncRNA","chr6",28137314,28139678,"+","ENSG00000261839",28137314,2365
"ENSG00000198315.11","ZKSCAN8","protein_coding","chr6",28141883,28159460,"+","ENSG00000198315",28141883,17578
"ENSG00000226314.9","ZKSCAN8P1","protein_coding","chr6",28161769,28169594,"+","ENSG00000226314",28161769,7826
"ENSG00000280107.1","ENSG00000280107","TEC","chr6",28170845,28172521,"+","ENSG00000280107",28170845,1677
"ENSG00000216901.1","ZNF603P","unprocessed_pseudogene","chr6",28176188,28176674,"+","ENSG00000216901",28176188,487
"ENSG00000218016.2","ZKSCAN8P2","unprocessed_pseudogene","chr6",28188050,28189432,"+","ENSG00000218016",28188050,1383
"ENSG00000176933.5","TOB2P1","processed_pseudogene","chr6",28217643,28218634,"-","ENSG00000176933",28218634,992
"ENSG00000137185.13","ZSCAN9","protein_coding","chr6",28224886,28233487,"+","ENSG00000137185",28224886,8602
"ENSG00000187626.9","ZKSCAN4","protein_coding","chr6",28241697,28252269,"-","ENSG00000187626",28252269,10573
"ENSG00000189134.4","NKAPL","protein_coding","chr6",28259297,28260958,"+","ENSG00000189134",28259297,1662
"ENSG00000197062.12","ZSCAN26","protein_coding","chr6",28267058,28278224,"+","ENSG00000197062",28267058,11167
"ENSG00000137338.6","PGBD1","protein_coding","chr6",28281572,28302549,"+","ENSG00000137338",28281572,20978
"ENSG00000273712.1","ENSG00000273712","processed_pseudogene","chr6",28315613,28315883,"-","ENSG00000273712",28315883,271
"ENSG00000270326.1","SMIM15P2","processed_pseudogene","chr6",28319660,28319852,"-","ENSG00000270326",28319852,193
"ENSG00000235109.8","ZSCAN31","protein_coding","chr6",28324693,28356271,"-","ENSG00000235109",28356271,31579
"ENSG00000289467.1","ENSG00000289467","lncRNA","chr6",28335690,28335828,"+","ENSG00000289467",28335690,139
"ENSG00000189298.14","ZKSCAN3","protein_coding","chr6",28349947,28369172,"+","ENSG00000189298",28349947,19226
"ENSG00000158691.15","ZSCAN12","protein_coding","chr6",28378955,28399747,"-","ENSG00000158691",28399747,20793
"ENSG00000251877.1","RNU2-45P","snRNA","chr6",28410270,28410456,"+","ENSG00000251877",28410270,187
"ENSG00000187987.10","ZSCAN23","protein_coding","chr6",28431930,28443502,"-","ENSG00000187987",28443502,11573
"ENSG00000231162.4","COX11P1","processed_pseudogene","chr6",28446973,28447807,"+","ENSG00000231162",28446973,835
"ENSG00000219262.1","OR2E1P","unprocessed_pseudogene","chr6",28455648,28456141,"-","ENSG00000219262",28456141,494
"ENSG00000287804.2","ENSG00000287804","lncRNA","chr6",28476996,28489493,"-","ENSG00000287804",28489493,12498
"ENSG00000286819.2","ENSG00000286819","lncRNA","chr6",28489579,28491661,"+","ENSG00000286819",28489579,2083
"ENSG00000198704.10","GPX6","protein_coding","chr6",28503296,28528215,"-","ENSG00000198704",28528215,24920
"ENSG00000224586.7","GPX5","protein_coding","chr6",28525881,28534955,"+","ENSG00000224586",28525881,9075
"ENSG00000232040.4","ZBED9","protein_coding","chr6",28570535,28616212,"-","ENSG00000232040",28616212,45678
"ENSG00000246350.1","ZBED9-AS1","lncRNA","chr6",28587378,28591747,"+","ENSG00000246350",28587378,4370
"ENSG00000271440.1","ENSG00000271440","processed_pseudogene","chr6",28633381,28633594,"-","ENSG00000271440",28633594,214
"ENSG00000287279.1","ENSG00000287279","lncRNA","chr6",28634861,28649538,"+","ENSG00000287279",28634861,14678
"ENSG00000237425.1","RPSAP2","processed_pseudogene","chr6",28732017,28732904,"+","ENSG00000237425",28732017,888
"ENSG00000235559.1","NOP56P1","processed_pseudogene","chr6",28783633,28784004,"-","ENSG00000235559",28784004,372
"ENSG00000225173.2","ENSG00000225173","lncRNA","chr6",28837240,28839058,"-","ENSG00000225173",28839058,1819
"ENSG00000225595.2","LINC01623","lncRNA","chr6",28859625,28864630,"-","ENSG00000225595",28864630,5006
"ENSG00000213916.2","RPL13P","processed_pseudogene","chr6",28862016,28862047,"+","ENSG00000213916",28862016,32
"ENSG00000233366.1","ZNF90P2","processed_pseudogene","chr6",28888832,28889906,"-","ENSG00000233366",28889906,1075
"ENSG00000224157.1","HCG14","lncRNA","chr6",28896530,28897322,"+","ENSG00000224157",28896530,793
"ENSG00000204713.11","TRIM27","protein_coding","chr6",28903002,28923988,"-","ENSG00000204713",28923988,20987
"ENSG00000212240.1","RNU6-930P","snRNA","chr6",28915645,28915744,"+","ENSG00000212240",28915645,100
"ENSG00000204709.4","LINC01556","lncRNA","chr6",28943877,28944537,"+","ENSG00000204709",28943877,661
"ENSG00000228666.1","KRT18P1","processed_pseudogene","chr6",28969130,28970460,"-","ENSG00000228666",28970460,1331
"ENSG00000263426.2","RN7SL471P","misc_RNA","chr6",28977475,28977773,"+","ENSG00000263426",28977475,299
"ENSG00000227214.2","HCG15","lncRNA","chr6",28986203,28987484,"+","ENSG00000227214",28986203,1282
"ENSG00000244349.1","ENSG00000244349","lncRNA","chr6",28988300,28988536,"+","ENSG00000244349",28988300,237
"ENSG00000197935.7","ZNF311","protein_coding","chr6",28994788,29005315,"-","ENSG00000197935",29005315,10528
"ENSG00000223677.1","OR2AD1P","unprocessed_pseudogene","chr6",29026680,29027607,"-","ENSG00000223677",29027607,928
"ENSG00000277661.4","ENSG00000277661","lncRNA","chr6",29036021,29076524,"+","ENSG00000277661",29036021,40504
"ENSG00000204704.3","OR2W1","protein_coding","chr6",29044213,29045175,"-","ENSG00000204704",29045175,963
"ENSG00000236909.1","OR2P1P","unprocessed_pseudogene","chr6",29071824,29072599,"-","ENSG00000236909",29072599,776
"ENSG00000228364.1","SAR1AP1","processed_pseudogene","chr6",29076573,29077168,"-","ENSG00000228364",29077168,596
"ENSG00000204703.5","OR2B3","protein_coding","chr6",29086208,29087313,"-","ENSG00000204703",29087313,1106
"ENSG00000204702.6","OR2J1","protein_coding","chr6",29099490,29102701,"+","ENSG00000204702",29099490,3212
"ENSG00000204701.3","OR2J3","protein_coding","chr6",29108058,29114770,"+","ENSG00000204701",29108058,6713
"ENSG00000227206.1","ENSG00000227206","lncRNA","chr6",29124210,29128908,"+","ENSG00000227206",29124210,4699
"ENSG00000203492.4","ENSG00000203492","transcribed_unprocessed_pseudogene","chr6",29137410,29142934,"-","ENSG00000203492",29142934,5525
"ENSG00000284656.1","ENSG00000284656","lncRNA","chr6",29162475,29166201,"-","ENSG00000284656",29166201,3727
"ENSG00000204700.5","OR2J2","protein_coding","chr6",29170907,29175811,"+","ENSG00000204700",29170907,4905
"ENSG00000224233.1","OR2J4P","unprocessed_pseudogene","chr6",29181510,29182445,"+","ENSG00000224233",29181510,936
"ENSG00000230598.2","ENSG00000230598","transcribed_unprocessed_pseudogene","chr6",29212886,29216933,"+","ENSG00000230598",29212886,4048
"ENSG00000197171.6","ENSG00000197171","transcribed_unprocessed_pseudogene","chr6",29223973,29292963,"+","ENSG00000197171",29223973,68991
"ENSG00000213911.2","OR2G1P","unprocessed_pseudogene","chr6",29229227,29230157,"-","ENSG00000213911",29230157,931
"ENSG00000204697.3","OR2U1P","unprocessed_pseudogene","chr6",29262703,29264079,"-","ENSG00000204697",29264079,1377
"ENSG00000242524.1","OR2U2P","unprocessed_pseudogene","chr6",29268462,29269421,"-","ENSG00000242524",29269421,960
"ENSG00000204695.4","OR14J1","protein_coding","chr6",29301701,29313017,"+","ENSG00000204695",29301701,11317
"ENSG00000230056.1","DDX6P1","processed_pseudogene","chr6",29329626,29331061,"-","ENSG00000230056",29331061,1436
"ENSG00000243729.5","OR5V1","protein_coding","chr6",29353749,29423062,"-","ENSG00000243729",29423062,69314
"ENSG00000112462.8","OR12D3","protein_coding","chr6",29373423,29375291,"-","ENSG00000112462",29375291,1869
"ENSG00000280236.3","OR12D2","protein_coding","chr6",29395631,29398008,"+","ENSG00000280236",29395631,2378
"ENSG00000251608.2","OR12D1","polymorphic_pseudogene","chr6",29414928,29418905,"+","ENSG00000251608",29414928,3978
"ENSG00000204694.13","OR11A1","protein_coding","chr6",29425504,29457071,"-","ENSG00000204694",29457071,31568
"ENSG00000206474.8","OR10C1","protein_coding","chr6",29439306,29440977,"+","ENSG00000206474",29439306,1672
"ENSG00000277881.1","ENSG00000277881","processed_pseudogene","chr6",29450210,29450558,"+","ENSG00000277881",29450210,349
"ENSG00000204688.10","OR2H1","protein_coding","chr6",29457155,29464328,"+","ENSG00000204688",29457155,7174
"ENSG00000225797.2","UBDP1","unprocessed_pseudogene","chr6",29464596,29469806,"-","ENSG00000225797",29469806,5211
"ENSG00000230164.1","MAS1LP1","unprocessed_pseudogene","chr6",29475025,29476071,"-","ENSG00000230164",29476071,1047
"ENSG00000289203.1","ENSG00000289203","lncRNA","chr6",29485157,29494160,"-","ENSG00000289203",29494160,9004
"ENSG00000204687.4","MAS1L","protein_coding","chr6",29486697,29487956,"-","ENSG00000204687",29487956,1260
"ENSG00000213900.2","RPS17P1","processed_pseudogene","chr6",29489271,29489676,"-","ENSG00000213900",29489676,406
"ENSG00000229274.2","LINC02829","lncRNA","chr6",29497475,29510558,"+","ENSG00000229274",29497475,13084
"ENSG00000224582.7","LINC01015","lncRNA","chr6",29528721,29533665,"+","ENSG00000224582",29528721,4945
"ENSG00000229281.1","GPR53P","unprocessed_pseudogene","chr6",29537704,29538787,"-","ENSG00000229281",29538787,1084
"ENSG00000237988.5","OR2I1P","protein_coding","chr6",29550407,29557721,"+","ENSG00000237988",29550407,7315
"ENSG00000213886.4","UBD","protein_coding","chr6",29559675,29559732,"-","ENSG00000213886",29559732,58
"ENSG00000204681.11","GABBR1","protein_coding","chr6",29602228,29633976,"-","ENSG00000204681",29633976,31749
"ENSG00000232173.2","OR2H5P","unprocessed_pseudogene","chr6",29573909,29574836,"+","ENSG00000232173",29573909,928
"ENSG00000227609.2","TMEM183AP1","processed_pseudogene","chr6",29577459,29577748,"+","ENSG00000227609",29577459,290
"ENSG00000201330.1","SNORD32B","snoRNA","chr6",29582249,29582332,"+","ENSG00000201330",29582249,84
"ENSG00000231301.1","RPL13AP","processed_pseudogene","chr6",29582508,29583025,"+","ENSG00000231301",29582508,518
"ENSG00000204657.4","OR2H2","protein_coding","chr6",29585121,29590500,"+","ENSG00000204657",29585121,5380
"ENSG00000235238.1","SUMO2P1","processed_pseudogene","chr6",29636060,29636343,"-","ENSG00000235238",29636343,284
"ENSG00000204655.12","MOG","protein_coding","chr6",29657002,29672372,"+","ENSG00000204655",29657002,15371
"ENSG00000204644.10","ZFP57","protein_coding","chr6",29672483,29681155,"-","ENSG00000204644",29681155,8673
"ENSG00000233916.1","ZDHHC20P1","processed_pseudogene","chr6",29708125,29708547,"-","ENSG00000233916",29708547,423
"ENSG00000204642.14","HLA-F","protein_coding","chr6",29722775,29738528,"+","ENSG00000204642",29722775,15754
"ENSG00000225864.1","ENSG00000225864","unprocessed_pseudogene","chr6",29723001,29723939,"-","ENSG00000225864",29723939,939
"ENSG00000214922.9","HLA-F-AS1","lncRNA","chr6",29735028,29748993,"-","ENSG00000214922",29748993,13966
"ENSG00000239257.1","RPL23AP1","transcribed_processed_pseudogene","chr6",29726669,29726882,"-","ENSG00000239257",29726882,214
"ENSG00000273340.1","MICE","transcribed_unprocessed_pseudogene","chr6",29741731,29745234,"-","ENSG00000273340",29745234,3504
"ENSG00000227758.1","ENSG00000227758","unprocessed_pseudogene","chr6",29748289,29748513,"+","ENSG00000227758",29748289,225
"ENSG00000199290.1","Y_RNA","misc_RNA","chr6",29750371,29750472,"+","ENSG00000199290",29750371,102
"ENSG00000235821.1","IFITM4P","processed_pseudogene","chr6",29750729,29751148,"-","ENSG00000235821",29751148,420
"ENSG00000272236.1","ENSG00000272236","lncRNA","chr6",29751965,29752207,"-","ENSG00000272236",29752207,243
"ENSG00000285761.1","ENSG00000285761","lncRNA","chr6",29752573,29763257,"+","ENSG00000285761",29752573,10685
"ENSG00000270896.1","ENSG00000270896","processed_pseudogene","chr6",29763296,29763392,"-","ENSG00000270896",29763392,97
"ENSG00000181126.13","HLA-V","transcribed_unprocessed_pseudogene","chr6",29790954,29797811,"+","ENSG00000181126",29790954,6858
"ENSG00000176998.4","HCG4","unprocessed_pseudogene","chr6",29791775,29792436,"-","ENSG00000176998",29792436,662
"ENSG00000261548.1","HLA-P","unprocessed_pseudogene","chr6",29800415,29802425,"+","ENSG00000261548",29800415,2011
"ENSG00000213880.3","RPL7AP7","processed_pseudogene","chr6",29803195,29803991,"-","ENSG00000213880",29803991,797
"ENSG00000237042.1","MICG","unprocessed_pseudogene","chr6",29812565,29812696,"-","ENSG00000237042",29812696,132
"ENSG00000204632.13","HLA-G","protein_coding","chr6",29826967,29831125,"+","ENSG00000204632",29826967,4159
"ENSG00000229142.1","HCG4P8","unprocessed_pseudogene","chr6",29827385,29828364,"-","ENSG00000229142",29828364,980
"ENSG00000285799.1","ENSG00000285799","transcribed_unprocessed_pseudogene","chr6",29849550,29885615,"-","ENSG00000285799",29885615,36066
"ENSG00000281831.1","HCP5B","lncRNA","chr6",29871895,29873783,"-","ENSG00000281831",29873783,1889
"ENSG00000230521.1","ENSG00000230521","unprocessed_pseudogene","chr6",29887294,29888268,"-","ENSG00000230521",29888268,975
"ENSG00000206341.7","HLA-H","unprocessed_pseudogene","chr6",29888467,29890482,"+","ENSG00000206341",29888467,2016
"ENSG00000231130.1","HLA-T","unprocessed_pseudogene","chr6",29896654,29897786,"+","ENSG00000231130",29896654,1133
"ENSG00000233677.1","DDX39BP1","unprocessed_pseudogene","chr6",29906543,29906909,"+","ENSG00000233677",29906543,367
"ENSG00000235963.1","MCCD1P1","unprocessed_pseudogene","chr6",29907783,29908645,"-","ENSG00000235963",29908645,863
"ENSG00000227262.3","HCG4B","unprocessed_pseudogene","chr6",29925983,29926973,"-","ENSG00000227262",29926973,991
"ENSG00000230795.3","HLA-K","unprocessed_pseudogene","chr6",29927178,29929232,"+","ENSG00000230795",29927178,2055
"ENSG00000228078.1","HLA-U","unprocessed_pseudogene","chr6",29934101,29934286,"+","ENSG00000228078",29934101,186
"ENSG00000206503.13","HLA-A","protein_coding","chr6",29941260,29945884,"+","ENSG00000206503",29941260,4625
"ENSG00000227766.1","ENSG00000227766","unprocessed_pseudogene","chr6",29942097,29943067,"-","ENSG00000227766",29943067,971
"ENSG00000235290.1","HLA-W","unprocessed_pseudogene","chr6",29956596,29958570,"+","ENSG00000235290",29956596,1975
"ENSG00000229390.1","MICD","unprocessed_pseudogene","chr6",29970801,29972464,"-","ENSG00000229390",29972464,1664
"ENSG00000204625.10","HCG9","lncRNA","chr6",29975112,29978410,"+","ENSG00000204625",29975112,3299
"ENSG00000204623.10","ZNRD1ASP","transcribed_unitary_pseudogene","chr6",29976042,30061256,"-","ENSG00000204623",30061256,85215
"ENSG00000238024.1","DDX39BP2","unprocessed_pseudogene","chr6",29993209,29993605,"+","ENSG00000238024",29993209,397
"ENSG00000224312.1","MCCD1P2","unprocessed_pseudogene","chr6",29994437,29995314,"-","ENSG00000224312",29995314,878
"ENSG00000204622.11","HLA-J","transcribed_unprocessed_pseudogene","chr6",30005971,30009956,"+","ENSG00000204622",30005971,3986
"ENSG00000237669.1","ENSG00000237669","unprocessed_pseudogene","chr6",30006140,30007116,"-","ENSG00000237669",30007116,977
"ENSG00000232757.1","ETF1P1","processed_pseudogene","chr6",30031713,30033003,"+","ENSG00000232757",30031713,1291
"ENSG00000066379.15","POLR1H","protein_coding","chr6",30061641,30064909,"+","ENSG00000066379",30061641,3269
"ENSG00000204619.8","PPP1R11","protein_coding","chr6",30066709,30070265,"+","ENSG00000204619",30066709,3557
"ENSG00000204618.10","RNF39","protein_coding","chr6",30070334,30075849,"-","ENSG00000204618",30075849,5516
"ENSG00000204616.11","TRIM31","protein_coding","chr6",30102897,30113090,"-","ENSG00000204616",30113090,10194
"ENSG00000231226.1","TRIM31-AS1","lncRNA","chr6",30105243,30114724,"+","ENSG00000231226",30105243,9482
"ENSG00000252228.1","ENSG00000252228","snoRNA","chr6",30132805,30132966,"-","ENSG00000252228",30132966,162
"ENSG00000204614.9","TRIM40","protein_coding","chr6",30136124,30148735,"+","ENSG00000204614",30136124,12612
"ENSG00000204613.11","TRIM10","protein_coding","chr6",30151943,30161211,"-","ENSG00000204613",30161211,9269
"ENSG00000204610.14","TRIM15","protein_coding","chr6",30163206,30172693,"+","ENSG00000204610",30163206,9488
"ENSG00000234127.9","TRIM26","protein_coding","chr6",30184455,30213427,"-","ENSG00000234127",30213427,28973
"ENSG00000233892.1","PAIP1P1","processed_pseudogene","chr6",30186798,30188614,"-","ENSG00000233892",30188614,1817
"ENSG00000270604.5","HCG17","lncRNA","chr6",30234039,30254464,"-","ENSG00000270604",30254464,20426
"ENSG00000236475.1","TRIM26BP","unprocessed_pseudogene","chr6",30238301,30242146,"+","ENSG00000236475",30238301,3846
"ENSG00000243753.6","HLA-L","transcribed_unprocessed_pseudogene","chr6",30259548,30274780,"+","ENSG00000243753",30259548,15233
"ENSG00000280128.1","ENSG00000280128","TEC","chr6",30282349,30286054,"-","ENSG00000280128",30286054,3706
"ENSG00000231074.10","HCG18","lncRNA","chr6",30286690,30327258,"-","ENSG00000231074",30327258,40569
"ENSG00000204599.15","TRIM39","protein_coding","chr6",30327383,30343729,"+","ENSG00000204599",30327383,16347
"ENSG00000241370.6","RPP21","protein_coding","chr6",30345131,30346884,"+","ENSG00000241370",30345131,1754
"ENSG00000224372.1","HLA-N","unprocessed_pseudogene","chr6",30351416,30351550,"+","ENSG00000224372",30351416,135
"ENSG00000224486.1","ENSG00000224486","processed_pseudogene","chr6",30359278,30359911,"-","ENSG00000224486",30359911,634
"ENSG00000236405.1","UBQLN1P1","processed_pseudogene","chr6",30363112,30364280,"-","ENSG00000236405",30364280,1169
"ENSG00000226577.1","MICC","unprocessed_pseudogene","chr6",30414715,30419319,"+","ENSG00000226577",30414715,4605
"ENSG00000286301.1","ENSG00000286301","lncRNA","chr6",30451139,30456212,"+","ENSG00000286301",30451139,5074
"ENSG00000288805.1","ENSG00000288805","lncRNA","chr6",30460825,30481634,"-","ENSG00000288805",30481634,20810
"ENSG00000229068.1","TMPOP1","processed_pseudogene","chr6",30466452,30467994,"+","ENSG00000229068",30466452,1543
"ENSG00000224936.1","SUCLA2P1","processed_pseudogene","chr6",30468882,30470251,"+","ENSG00000224936",30468882,1370
"ENSG00000236603.2","RANP1","processed_pseudogene","chr6",30485940,30486590,"+","ENSG00000236603",30485940,651
"ENSG00000204592.9","HLA-E","protein_coding","chr6",30489509,30494194,"+","ENSG00000204592",30489509,4686
"ENSG00000235781.1","LINC02569","lncRNA","chr6",30516266,30519217,"+","ENSG00000235781",30516266,2952
"ENSG00000204590.13","GNL1","protein_coding","chr6",30541381,30556489,"-","ENSG00000204590",30556489,15109
"ENSG00000204576.12","PRR3","protein_coding","chr6",30557280,30563723,"+","ENSG00000204576",30557280,6444
"ENSG00000204574.14","ABCF1","protein_coding","chr6",30571393,30597179,"+","ENSG00000204574",30571393,25787
"ENSG00000216101.3","MIR877","miRNA","chr6",30584332,30584417,"+","ENSG00000216101",30584332,86
"ENSG00000204569.10","PPP1R10","protein_coding","chr6",30600413,30618612,"-","ENSG00000204569",30618612,18200
"ENSG00000204568.12","MRPS18B","protein_coding","chr6",30617840,30626395,"+","ENSG00000204568",30617840,8556
"ENSG00000137343.18","ATAT1","protein_coding","chr6",30626842,30646823,"+","ENSG00000137343",30626842,19982
"ENSG00000228415.3","PTMAP1","processed_pseudogene","chr6",30633632,30633956,"+","ENSG00000228415",30633632,325
"ENSG00000204564.12","C6orf136","protein_coding","chr6",30647039,30653118,"+","ENSG00000204564",30647039,6080
"ENSG00000204560.10","DHX16","protein_coding","chr6",30653211,30673006,"-","ENSG00000204560",30673006,19796
"ENSG00000146112.12","PPP1R18","protein_coding","chr6",30676389,30687895,"-","ENSG00000146112",30687895,11507
"ENSG00000137404.15","NRM","protein_coding","chr6",30688047,30691420,"-","ENSG00000137404",30691420,3374
"ENSG00000230449.1","RPL7P4","processed_pseudogene","chr6",30696806,30697535,"-","ENSG00000230449",30697535,730
"ENSG00000137337.16","MDC1","protein_coding","chr6",30699807,30717434,"-","ENSG00000137337",30717434,17628
"ENSG00000224328.1","MDC1-AS1","lncRNA","chr6",30703067,30703103,"+","ENSG00000224328",30703067,37
"ENSG00000196230.14","TUBB","protein_coding","chr6",30717448,30725538,"+","ENSG00000196230",30717448,8091
"ENSG00000272540.1","ENSG00000272540","lncRNA","chr6",30723105,30723339,"-","ENSG00000272540",30723339,235
"ENSG00000137312.15","FLOT1","protein_coding","chr6",30727709,30742732,"-","ENSG00000137312",30742732,15024
"ENSG00000201988.2","Y_RNA","misc_RNA","chr6",30736304,30736414,"-","ENSG00000201988",30736414,111
"ENSG00000272273.2","IER3-AS1","lncRNA","chr6",30742816,30743198,"+","ENSG00000272273",30742816,383
"ENSG00000137331.12","IER3","protein_coding","chr6",30743639,30744548,"-","ENSG00000137331",30744548,910
"ENSG00000228022.6","HCG20","lncRNA","chr6",30766798,30792250,"+","ENSG00000228022",30766798,25453
"ENSG00000263608.2","RN7SL353P","misc_RNA","chr6",30751038,30751289,"+","ENSG00000263608",30751038,252
"ENSG00000214894.7","LINC00243","lncRNA","chr6",30798211,30830659,"-","ENSG00000214894",30830659,32449
"ENSG00000237923.1","LINC02570","lncRNA","chr6",30839526,30848159,"-","ENSG00000237923",30848159,8634
"ENSG00000202241.1","RN7SKP186","misc_RNA","chr6",30864250,30864552,"+","ENSG00000202241",30864250,303
"ENSG00000237775.1","DDR1-DT","lncRNA","chr6",30866982,30875918,"-","ENSG00000237775",30875918,8937
"ENSG00000204580.14","DDR1","protein_coding","chr6",30876421,30900156,"+","ENSG00000204580",30876421,23736
"ENSG00000284370.1","MIR4640","miRNA","chr6",30890883,30890972,"+","ENSG00000284370",30890883,90
"ENSG00000213780.11","GTF2H4","protein_coding","chr6",30908207,30914106,"+","ENSG00000213780",30908207,5900
"ENSG00000137411.19","VARS2","protein_coding","chr6",30914205,30926459,"+","ENSG00000137411",30914205,12255
"ENSG00000196260.5","SFTA2","protein_coding","chr6",30931353,30955636,"-","ENSG00000196260",30955636,24284
"ENSG00000252761.1","Y_RNA","misc_RNA","chr6",30932618,30932709,"-","ENSG00000252761",30932709,92
"ENSG00000168631.13","MUCL3","protein_coding","chr6",30934523,30954221,"+","ENSG00000168631",30934523,19699
"ENSG00000233529.1","HCG21","lncRNA","chr6",30945979,30946359,"-","ENSG00000233529",30946359,381
"ENSG00000275906.1","NAPGP2","processed_pseudogene","chr6",30961403,30962396,"-","ENSG00000275906",30962396,994
"ENSG00000204544.5","MUC21","protein_coding","chr6",30983718,30989903,"+","ENSG00000204544",30983718,6186
"ENSG00000261272.1","MUC22","protein_coding","chr6",31010474,31035402,"+","ENSG00000261272",31010474,24929
"ENSG00000228789.9","HCG22","polymorphic_pseudogene","chr6",31053450,31059890,"+","ENSG00000228789",31053450,6441
"ENSG00000222895.1","RNU6-1133P","snRNA","chr6",31083010,31083109,"+","ENSG00000222895",31083010,100
"ENSG00000204542.3","C6orf15","protein_coding","chr6",31111223,31112575,"-","ENSG00000204542",31112575,1353
"ENSG00000204540.11","PSORS1C1","protein_coding","chr6",31114750,31140092,"+","ENSG00000204540",31114750,25343
"ENSG00000204539.4","CDSN","protein_coding","chr6",31115087,31120446,"-","ENSG00000204539",31120446,5360
"ENSG00000204538.4","PSORS1C2","protein_coding","chr6",31137534,31139066,"-","ENSG00000204538",31139066,1533
"ENSG00000238211.1","POLR2LP1","processed_pseudogene","chr6",31140727,31140913,"+","ENSG00000238211",31140727,187
"ENSG00000204536.15","CCHCR1","protein_coding","chr6",31142439,31158238,"-","ENSG00000204536",31158238,15800
"ENSG00000137310.12","TCF19","protein_coding","chr6",31158547,31164215,"+","ENSG00000137310",31158547,5669
"ENSG00000204531.21","POU5F1","protein_coding","chr6",31164337,31180731,"-","ENSG00000204531",31180731,16395
"ENSG00000204528.3","PSORS1C3","lncRNA","chr6",31173735,31177899,"-","ENSG00000204528",31177899,4165
"ENSG00000272501.1","ENSG00000272501","lncRNA","chr6",31195200,31198037,"-","ENSG00000272501",31198037,2838
"ENSG00000206344.8","HCG27","lncRNA","chr6",31198138,31203968,"+","ENSG00000206344",31198138,5831
"ENSG00000271821.1","ENSG00000271821","lncRNA","chr6",31201876,31201918,"-","ENSG00000271821",31201918,43
"ENSG00000255726.1","ENSG00000255726","unprocessed_pseudogene","chr6",31222913,31223093,"+","ENSG00000255726",31222913,181
"ENSG00000255899.1","ENSG00000255899","unprocessed_pseudogene","chr6",31224342,31225058,"-","ENSG00000255899",31225058,717
"ENSG00000204525.18","HLA-C","protein_coding","chr6",31268749,31272105,"-","ENSG00000204525",31272105,3357
"ENSG00000288813.1","ENSG00000288813","lncRNA","chr6",31272240,31272590,"+","ENSG00000288813",31272240,351
