"gene","module","gene_clean","symbol","is_GenAge","symbol_gtf","gene_type","chromosome","gene_start","gene_end","strand","TSS","gene_length","ERV_position_eligible","promoter_ERV_n","promoter_ERV_any","promoter_ERV_families","nearest_ERV_distance","nearest_ERV_fragment_id","nearest_ERV_repName","nearest_ERV_family","nearest_ERV_part","nearest_ERV_start","nearest_ERV_end","nearest_ERV_strand","nearest_ERV_direction","nearest_ERV_signed_distance"
"ENSG00000133056.14","blue","ENSG00000133056","PIK3C2B",FALSE,"PIK3C2B","protein_coding","chr1",204422628,204494805,"-",204494805,72178,TRUE,2,TRUE,"ERV1;ERVL",878,"chr1_204495684_204495811_MER39","MER39","ERV1","LTR_or_other",204495684,204495811,"+","upstream",-878
"ENSG00000163736.4","grey","ENSG00000163736","PPBP",FALSE,"PPBP","protein_coding","chr4",73986439,73988190,"-",73988190,1752,TRUE,1,TRUE,"ERV1",1816,"chr4_73990007_73990512_LTR44","LTR44","ERV1","LTR_or_other",73990007,73990512,"+","upstream",-1816
"ENSG00000229921.7","grey","ENSG00000229921","KIF25-AS1",FALSE,"KIF25-AS1","lncRNA","chr6",167992822,167997110,"-",167997110,4289,TRUE,0,FALSE,NA,1174,"chr6_167995488_167995935_LTR69","LTR69","ERVL","LTR_or_other",167995488,167995935,"-","downstream",1174
"ENSG00000182021.10","grey","ENSG00000182021","ENSG00000182021",FALSE,"ENSG00000182021","transcribed_unprocessed_pseudogene","chr9",63111255,63127100,"-",63127100,15846,TRUE,0,FALSE,NA,16004,"chr9_63110727_63111095_MSTA","MSTA","ERVL-MaLR","LTR_or_other",63110727,63111095,"+","downstream",16004
"ENSG00000135587.9","brown","ENSG00000135587","SMPD2",FALSE,"SMPD2","protein_coding","chr6",109441357,109443919,"+",109441357,2563,TRUE,0,FALSE,NA,9360,"chr6_109431595_109431996_LTR56","LTR56","ERV1","LTR_or_other",109431595,109431996,"+","upstream",-9360
"ENSG00000149451.19","turquoise","ENSG00000149451","ADAM33",FALSE,"ADAM33","protein_coding","chr20",3667970,3682246,"-",3682246,14277,TRUE,0,FALSE,NA,2648,"chr20_3684895_3685063_MLT2B2","MLT2B2","ERVL","LTR_or_other",3684895,3685063,"-","upstream",-2648
"ENSG00000163737.5","grey","ENSG00000163737","PF4",FALSE,"PF4","protein_coding","chr4",73980811,73982027,"-",73982027,1217,TRUE,0,FALSE,NA,1350,"chr4_73980175_73980676_MLT1D","MLT1D","ERVL-MaLR","LTR_or_other",73980175,73980676,"+","downstream",1350
"ENSG00000198467.16","yellow","ENSG00000198467","TPM2",FALSE,"TPM2","protein_coding","chr9",35681992,35690056,"-",35690056,8065,TRUE,0,FALSE,NA,8516,"chr9_35681313_35681539_MLT1D","MLT1D","ERVL-MaLR","LTR_or_other",35681313,35681539,"-","downstream",8516
"ENSG00000005102.14","turquoise","ENSG00000005102","MEOX1",FALSE,"MEOX1","protein_coding","chr17",43640389,43661922,"-",43661922,21534,TRUE,0,FALSE,NA,6199,"chr17_43668122_43668237_MLT1J","MLT1J","ERVL-MaLR","LTR_or_other",43668122,43668237,"-","upstream",-6199
"ENSG00000099860.9","pink","ENSG00000099860","GADD45B",FALSE,"GADD45B","protein_coding","chr19",2476127,2478257,"+",2476127,2131,TRUE,0,FALSE,NA,4837,"chr19_2471215_2471289_MLT1A","MLT1A","ERVL-MaLR","LTR_or_other",2471215,2471289,"-","upstream",-4837
"ENSG00000228141.7","grey","ENSG00000228141","ENSG00000228141",FALSE,"ENSG00000228141","transcribed_unitary_pseudogene","chr15",82710471,82714029,"-",82714029,3559,TRUE,0,FALSE,NA,2172,"chr15_82716202_82717253_MER11C","MER11C","ERVK","LTR_or_other",82716202,82717253,"+","upstream",-2172
"ENSG00000262488.1","grey","ENSG00000262488","ENSG00000262488",FALSE,"ENSG00000262488","processed_pseudogene","chr16",10840384,10841544,"-",10841544,1161,TRUE,0,FALSE,NA,2203,"chr16_10839268_10839340_LTR16C","LTR16C","ERVL","LTR_or_other",10839268,10839340,"+","downstream",2203
"ENSG00000163584.18","black","ENSG00000163584","RPL22L1",FALSE,"RPL22L1","protein_coding","chr3",170864875,170870208,"-",170870208,5334,TRUE,0,FALSE,NA,543,"chr3_170869418_170869664_LTR37B","LTR37B","ERV1","LTR_or_other",170869418,170869664,"+","downstream",543
"ENSG00000287983.1","blue","ENSG00000287983","ENSG00000287983",FALSE,"ENSG00000287983","lncRNA","chr20",39231115,39233836,"-",39233836,2722,TRUE,2,TRUE,"ERVL-MaLR",22,"chr20_39233859_39233962_MLT1L","MLT1L","ERVL-MaLR","LTR_or_other",39233859,39233962,"-","upstream",-22
"ENSG00000157404.17","cyan","ENSG00000157404","KIT",FALSE,"KIT","protein_coding","chr4",54657267,54740783,"+",54657267,83517,TRUE,1,TRUE,"ERVL-MaLR",1893,"chr4_54654801_54655373_MLT1K","MLT1K","ERVL-MaLR","LTR_or_other",54654801,54655373,"+","upstream",-1893
"ENSG00000110786.18","darkgreen","ENSG00000110786","PTPN5",FALSE,"PTPN5","protein_coding","chr11",18727928,18792721,"-",18792721,64794,TRUE,0,FALSE,NA,6013,"chr11_18798735_18798857_MLT1N2","MLT1N2","ERVL-MaLR","LTR_or_other",18798735,18798857,"-","upstream",-6013
"ENSG00000181585.7","blue","ENSG00000181585","TMIE",FALSE,"TMIE","protein_coding","chr3",46694528,46710886,"+",46694528,16359,TRUE,0,FALSE,NA,2608,"chr3_46697137_46697385_MER21A","MER21A","ERVL","LTR_or_other",46697137,46697385,"+","downstream",2608
"ENSG00000289286.1","grey","ENSG00000289286","ENSG00000289286",FALSE,"ENSG00000289286","lncRNA","chr6",73570597,73571961,"-",73571961,1365,TRUE,2,TRUE,"ERV1;ERVL-MaLR",0,"chr6_73571544_73573099_LTR12C","LTR12C","ERV1","LTR_or_other",73571544,73573099,"-","overlaps_TSS",0
"ENSG00000235145.2","grey","ENSG00000235145","RPSAP16",FALSE,"RPSAP16","processed_pseudogene","chr1",179968686,179969506,"+",179968686,821,TRUE,2,TRUE,"ERV1",1600,"chr1_179966977_179967085_MER57B2","MER57B2","ERV1","LTR_or_other",179966977,179967085,"-","upstream",-1600
"ENSG00000177943.14","blue","ENSG00000177943","MAMDC4",FALSE,"MAMDC4","protein_coding","chr9",136851028,136860799,"+",136851028,9772,TRUE,0,FALSE,NA,20061,"chr9_136871090_136871155_LOR1-int","LOR1-int","ERV1","internal",136871090,136871155,"+","downstream",20061
"ENSG00000286746.1","turquoise","ENSG00000286746","ENSG00000286746",FALSE,"ENSG00000286746","lncRNA","chr13",80697177,81017737,"-",81017737,320561,TRUE,1,TRUE,"ERVL-MaLR",750,"chr13_81018488_81018854_MLT1B","MLT1B","ERVL-MaLR","LTR_or_other",81018488,81018854,"+","upstream",-750
"ENSG00000134545.14","darkturquoise","ENSG00000134545","KLRC1",FALSE,"KLRC1","protein_coding","chr12",10446028,10454685,"-",10454685,8658,TRUE,0,FALSE,NA,2940,"chr12_10457626_10458248_LTR9A1","LTR9A1","ERV1","LTR_or_other",10457626,10458248,"+","upstream",-2940
"ENSG00000179820.16","turquoise","ENSG00000179820","MYADM",FALSE,"MYADM","protein_coding","chr19",53864763,53876435,"+",53864763,11673,TRUE,3,TRUE,"ERVL;ERVL-MaLR",0,"chr19_53864254_53864794_ERVL-E-int","ERVL-E-int","ERVL","internal",53864254,53864794,"+","overlaps_TSS",0
"ENSG00000166450.13","blue","ENSG00000166450","PRTG",FALSE,"PRTG","protein_coding","chr15",55611544,55743152,"-",55743152,131609,TRUE,0,FALSE,NA,7358,"chr15_55750511_55750948_LTR40b","LTR40b","ERVL","LTR_or_other",55750511,55750948,"-","upstream",-7358
"ENSG00000233012.2","midnightblue","ENSG00000233012","HDAC1P2",FALSE,"HDAC1P2","transcribed_processed_pseudogene","chr1",220625740,220628056,"+",220625740,2317,TRUE,0,FALSE,NA,7115,"chr1_220632856_220633268_MSTB","MSTB","ERVL-MaLR","LTR_or_other",220632856,220633268,"-","downstream",7115
"ENSG00000198650.11","white","ENSG00000198650","TAT",FALSE,"TAT","protein_coding","chr16",71565667,71577092,"-",71577092,11426,TRUE,0,FALSE,NA,3131,"chr16_71580224_71580672_MER31A","MER31A","ERV1","LTR_or_other",71580224,71580672,"-","upstream",-3131
"ENSG00000204388.7","lightcyan","ENSG00000204388","HSPA1B",TRUE,"HSPA1B","protein_coding","chr6",31827738,31830254,"+",31827738,2517,TRUE,0,FALSE,NA,9861,"chr6_31837600_31837910_MSTA","MSTA","ERVL-MaLR","LTR_or_other",31837600,31837910,"-","downstream",9861
"ENSG00000255107.1","blue","ENSG00000255107","ENSG00000255107",FALSE,"ENSG00000255107","processed_pseudogene","chr8",69859264,69860540,"-",69860540,1277,TRUE,1,TRUE,"ERVL",556,"chr8_69861097_69861670_MLT2B4","MLT2B4","ERVL","LTR_or_other",69861097,69861670,"-","upstream",-556
"ENSG00000273521.1","pink","ENSG00000273521","ENSG00000273521",FALSE,"ENSG00000273521","lncRNA","chr10",131980240,131981337,"+",131980240,1098,TRUE,0,FALSE,NA,2504,"chr10_131977446_131977735_MLT1A0","MLT1A0","ERVL-MaLR","LTR_or_other",131977446,131977735,"-","upstream",-2504
"ENSG00000178031.18","turquoise","ENSG00000178031","ADAMTSL1",FALSE,"ADAMTSL1","protein_coding","chr9",17906563,18910950,"+",17906563,1004388,TRUE,0,FALSE,NA,16730,"chr9_17889390_17889832_MLT1A1","MLT1A1","ERVL-MaLR","LTR_or_other",17889390,17889832,"-","upstream",-16730
"ENSG00000279602.1","salmon","ENSG00000279602","ENSG00000279602",FALSE,"ENSG00000279602","TEC","chr17",43360041,43361361,"-",43361361,1321,TRUE,0,FALSE,NA,906,"chr17_43359957_43360454_MER41C","MER41C","ERV1","LTR_or_other",43359957,43360454,"-","downstream",906
"ENSG00000129514.8","skyblue","ENSG00000129514","FOXA1",FALSE,"FOXA1","protein_coding","chr14",37589552,37596059,"-",37596059,6508,TRUE,0,FALSE,NA,10228,"chr14_37606288_37606711_LTR33","LTR33","ERVL","LTR_or_other",37606288,37606711,"+","upstream",-10228
"ENSG00000150054.19","yellow","ENSG00000150054","MPP7",FALSE,"MPP7","protein_coding","chr10",28050993,28334486,"-",28334486,283494,TRUE,2,TRUE,"ERVL-MaLR",371,"chr10_28334858_28335233_MLT1F","MLT1F","ERVL-MaLR","LTR_or_other",28334858,28335233,"-","upstream",-371
"ENSG00000277173.1","black","ENSG00000277173","ENSG00000277173",FALSE,"ENSG00000277173","lncRNA","chr12",47768529,47769648,"+",47768529,1120,TRUE,1,TRUE,"ERVL-MaLR",402,"chr12_47768932_47769251_MLT1J2","MLT1J2","ERVL-MaLR","LTR_or_other",47768932,47769251,"-","downstream",402
"ENSG00000112182.15","grey","ENSG00000112182","BACH2",FALSE,"BACH2","protein_coding","chr6",89926528,90296908,"-",90296908,370381,TRUE,0,FALSE,NA,13464,"chr6_90310373_90310485_MLT1M","MLT1M","ERVL-MaLR","LTR_or_other",90310373,90310485,"-","upstream",-13464
"ENSG00000169926.11","grey60","ENSG00000169926","KLF13",FALSE,"KLF13","protein_coding","chr15",31326835,31435665,"+",31326835,108831,TRUE,0,FALSE,NA,4138,"chr15_31322576_31322696_MLT1I","MLT1I","ERVL-MaLR","LTR_or_other",31322576,31322696,"+","upstream",-4138
"ENSG00000198626.18","turquoise","ENSG00000198626","RYR2",FALSE,"RYR2","protein_coding","chr1",237042184,237833988,"+",237042184,791805,TRUE,0,FALSE,NA,7377,"chr1_237034290_237034806_MLT1J","MLT1J","ERVL-MaLR","LTR_or_other",237034290,237034806,"+","upstream",-7377
"ENSG00000167460.17","turquoise","ENSG00000167460","TPM4",FALSE,"TPM4","protein_coding","chr19",16067021,16103002,"+",16067021,35982,TRUE,0,FALSE,NA,3958,"chr19_16062626_16063062_LTR16C","LTR16C","ERVL","LTR_or_other",16062626,16063062,"+","upstream",-3958
"ENSG00000103404.15","brown","ENSG00000103404","USP31",FALSE,"USP31","protein_coding","chr16",23064174,23149452,"-",23149452,85279,TRUE,0,FALSE,NA,2120,"chr16_23151573_23151651_LTR12F","LTR12F","ERV1","LTR_or_other",23151573,23151651,"-","upstream",-2120
"ENSG00000188042.8","turquoise","ENSG00000188042","ARL4C",FALSE,"ARL4C","protein_coding","chr2",234493041,234497081,"-",234497081,4041,TRUE,1,TRUE,"ERVL-MaLR",1750,"chr2_234498832_234498985_MLT1K","MLT1K","ERVL-MaLR","LTR_or_other",234498832,234498985,"-","upstream",-1750
"ENSG00000270110.2","grey60","ENSG00000270110","ENSG00000270110",FALSE,"ENSG00000270110","lncRNA","chr1",228295549,228296064,"-",228296064,516,TRUE,5,TRUE,"ERVL-MaLR",0,"chr1_228295806_228296158_MLT1B-int","MLT1B-int","ERVL-MaLR","internal",228295806,228296158,"-","overlaps_TSS",0
"ENSG00000105204.14","blue","ENSG00000105204","DYRK1B",FALSE,"DYRK1B","protein_coding","chr19",39825350,39834201,"-",39834201,8852,TRUE,2,TRUE,"ERVL-MaLR",717,"chr19_39834919_39835238_MSTD","MSTD","ERVL-MaLR","LTR_or_other",39834919,39835238,"+","upstream",-717
"ENSG00000269552.1","red","ENSG00000269552","OR7A8P",FALSE,"OR7A8P","unprocessed_pseudogene","chr19",14852032,14852944,"-",14852944,913,TRUE,0,FALSE,NA,8861,"chr19_14861806_14861859_MLT1H","MLT1H","ERVL-MaLR","LTR_or_other",14861806,14861859,"+","upstream",-8861
"ENSG00000122870.12","grey60","ENSG00000122870","BICC1",FALSE,"BICC1","protein_coding","chr10",58512872,58831435,"+",58512872,318564,TRUE,0,FALSE,NA,6121,"chr10_58518994_58519171_MLT1J","MLT1J","ERVL-MaLR","LTR_or_other",58518994,58519171,"-","downstream",6121
"ENSG00000077152.11","yellow","ENSG00000077152","UBE2T",FALSE,"UBE2T","protein_coding","chr1",202331657,202341959,"-",202341959,10303,TRUE,0,FALSE,NA,11376,"chr1_202330218_202330582_MLT1L","MLT1L","ERVL-MaLR","LTR_or_other",202330218,202330582,"+","downstream",11376
"ENSG00000184254.17","turquoise","ENSG00000184254","ALDH1A3",FALSE,"ALDH1A3","protein_coding","chr15",100877714,100916626,"+",100877714,38913,TRUE,0,FALSE,NA,2433,"chr15_100875004_100875280_MLT1J","MLT1J","ERVL-MaLR","LTR_or_other",100875004,100875280,"-","upstream",-2433
"ENSG00000182578.14","cyan","ENSG00000182578","CSF1R",FALSE,"CSF1R","protein_coding","chr5",150053291,150113372,"-",150113372,60082,TRUE,0,FALSE,NA,1140,"chr5_150111982_150112231_LTR24B","LTR24B","ERV1","LTR_or_other",150111982,150112231,"+","downstream",1140
"ENSG00000286728.1","grey","ENSG00000286728","ENSG00000286728",FALSE,"ENSG00000286728","lncRNA","chr2",45169616,45211673,"+",45169616,42058,TRUE,0,FALSE,NA,9761,"chr2_45159494_45159854_MLT1H1","MLT1H1","ERVL-MaLR","LTR_or_other",45159494,45159854,"+","upstream",-9761
"ENSG00000198185.12","blue","ENSG00000198185","ZNF334",FALSE,"ZNF334","protein_coding","chr20",46499630,46513559,"-",46513559,13930,TRUE,1,TRUE,"ERVL-MaLR",1105,"chr20_46514665_46515195_MLT1H1","MLT1H1","ERVL-MaLR","LTR_or_other",46514665,46515195,"+","upstream",-1105
"ENSG00000100399.16","blue","ENSG00000100399","CHADL",FALSE,"CHADL","protein_coding","chr22",41229510,41240931,"-",41240931,11422,TRUE,0,FALSE,NA,7156,"chr22_41233474_41233774_MLT1C","MLT1C","ERVL-MaLR","LTR_or_other",41233474,41233774,"+","downstream",7156
"ENSG00000235314.1","blue","ENSG00000235314","LINC00957",FALSE,"LINC00957","lncRNA","chr7",44039171,44042306,"+",44039171,3136,TRUE,0,FALSE,NA,2717,"chr7_44041889_44042000_MER51A","MER51A","ERV1","LTR_or_other",44041889,44042000,"-","downstream",2717
"ENSG00000088836.14","grey","ENSG00000088836","SLC4A11",FALSE,"SLC4A11","protein_coding","chr20",3227417,3239559,"-",3239559,12143,TRUE,0,FALSE,NA,8035,"chr20_3247595_3247697_MLT1K","MLT1K","ERVL-MaLR","LTR_or_other",3247595,3247697,"+","upstream",-8035
"ENSG00000170011.14","turquoise","ENSG00000170011","MYRIP",FALSE,"MYRIP","protein_coding","chr3",39808914,40260321,"+",39808914,451408,TRUE,1,TRUE,"ERVL",1159,"chr3_39807285_39807754_LTR33A_","LTR33A_","ERVL","LTR_or_other",39807285,39807754,"-","upstream",-1159
"ENSG00000156427.8","blue","ENSG00000156427","FGF18",FALSE,"FGF18","protein_coding","chr5",171419647,171457626,"+",171419647,37980,TRUE,0,FALSE,NA,16691,"chr5_171402604_171402955_MSTA","MSTA","ERVL-MaLR","LTR_or_other",171402604,171402955,"+","upstream",-16691
"ENSG00000117650.13","saddlebrown","ENSG00000117650","NEK2",FALSE,"NEK2","protein_coding","chr1",211658657,211675630,"-",211675630,16974,TRUE,1,TRUE,"ERVL-MaLR",1454,"chr1_211677085_211677455_MSTD","MSTD","ERVL-MaLR","LTR_or_other",211677085,211677455,"+","upstream",-1454
"ENSG00000137877.10","blue","ENSG00000137877","SPTBN5",FALSE,"SPTBN5","protein_coding","chr15",41848148,41890205,"-",41890205,42058,TRUE,0,FALSE,NA,5906,"chr15_41896112_41896210_MLT1K","MLT1K","ERVL-MaLR","LTR_or_other",41896112,41896210,"-","upstream",-5906
"ENSG00000272512.1","blue","ENSG00000272512","ENSG00000272512",FALSE,"ENSG00000272512","lncRNA","chr1",995966,998051,"-",998051,2086,TRUE,0,FALSE,NA,3649,"chr1_994335_994401_MSTA","MSTA","ERVL-MaLR","LTR_or_other",994335,994401,"+","downstream",3649
"ENSG00000197641.12","skyblue","ENSG00000197641","SERPINB13",FALSE,"SERPINB13","protein_coding","chr18",63586989,63604639,"+",63586989,17651,TRUE,1,TRUE,"ERVL",1568,"chr18_63585210_63585420_LTR16A1","LTR16A1","ERVL","LTR_or_other",63585210,63585420,"-","upstream",-1568
"ENSG00000227706.4","grey","ENSG00000227706","ENSG00000227706",FALSE,"ENSG00000227706","lncRNA","chr6",67878316,67889339,"-",67889339,11024,TRUE,4,TRUE,"ERV1;ERVL;ERVL-MaLR",0,"chr6_67889062_67889473_LTR7C","LTR7C","ERV1","LTR_or_other",67889062,67889473,"-","overlaps_TSS",0
"ENSG00000203710.12","cyan","ENSG00000203710","CR1",FALSE,"CR1","protein_coding","chr1",207496147,207641765,"+",207496147,145619,TRUE,0,FALSE,NA,3367,"chr1_207492697_207492779_MLT1K","MLT1K","ERVL-MaLR","LTR_or_other",207492697,207492779,"-","upstream",-3367
"ENSG00000124216.4","pink","ENSG00000124216","SNAI1",FALSE,"SNAI1","protein_coding","chr20",49982980,49988886,"+",49982980,5907,TRUE,0,FALSE,NA,14095,"chr20_49997076_49997248_MLT1B","MLT1B","ERVL-MaLR","LTR_or_other",49997076,49997248,"-","downstream",14095
"ENSG00000133466.14","blue","ENSG00000133466","C1QTNF6",FALSE,"C1QTNF6","protein_coding","chr22",37180166,37199385,"-",37199385,19220,TRUE,1,TRUE,"ERVL-MaLR",1666,"chr22_37201052_37201336_MLT1C","MLT1C","ERVL-MaLR","LTR_or_other",37201052,37201336,"-","upstream",-1666
"ENSG00000153707.19","turquoise","ENSG00000153707","PTPRD",FALSE,"PTPRD","protein_coding","chr9",8314246,10613002,"-",10613002,2298757,TRUE,0,FALSE,NA,3870,"chr9_10616873_10617121_LTR33","LTR33","ERVL","LTR_or_other",10616873,10617121,"+","upstream",-3870
"ENSG00000112077.18","grey","ENSG00000112077","RHAG",FALSE,"RHAG","protein_coding","chr6",49605175,49636839,"-",49636839,31665,TRUE,0,FALSE,NA,6724,"chr6_49628415_49630114_LTR12C","LTR12C","ERV1","LTR_or_other",49628415,49630114,"-","downstream",6724
"ENSG00000235092.7","blue","ENSG00000235092","ID2-AS1",FALSE,"ID2-AS1","lncRNA","chr2",8666636,8681853,"-",8681853,15218,TRUE,0,FALSE,NA,8543,"chr2_8673141_8673309_MLT1G","MLT1G","ERVL-MaLR","LTR_or_other",8673141,8673309,"-","downstream",8543
"ENSG00000272369.1","yellow","ENSG00000272369","ENSG00000272369",FALSE,"ENSG00000272369","lncRNA","chr12",46537502,46652550,"+",46537502,115049,TRUE,1,TRUE,"ERVL-MaLR",790,"chr12_46536299_46536711_MSTA","MSTA","ERVL-MaLR","LTR_or_other",46536299,46536711,"-","upstream",-790
"ENSG00000100191.6","grey","ENSG00000100191","SLC5A4",FALSE,"SLC5A4","protein_coding","chr22",32218464,32255347,"-",32255347,36884,TRUE,1,TRUE,"ERV1",1919,"chr22_32257267_32257318_MER66B","MER66B","ERV1","LTR_or_other",32257267,32257318,"-","upstream",-1919
"ENSG00000279278.1","blue","ENSG00000279278","ENSG00000279278",FALSE,"ENSG00000279278","lncRNA","chr22",22264601,22273020,"+",22264601,8420,TRUE,6,TRUE,"ERV1;ERVL",0,"chr22_22264560_22264674_MLT2C1","MLT2C1","ERVL","LTR_or_other",22264560,22264674,"-","overlaps_TSS",0
"ENSG00000160255.18","cyan","ENSG00000160255","ITGB2",FALSE,"ITGB2","protein_coding","chr21",44885953,44931989,"-",44931989,46037,TRUE,0,FALSE,NA,4734,"chr21_44936724_44937186_MER34","MER34","ERV1","LTR_or_other",44936724,44937186,"+","upstream",-4734
"ENSG00000289019.1","grey","ENSG00000289019","ENSG00000289019",FALSE,"ENSG00000289019","lncRNA","chr4",70899216,70902252,"-",70902252,3037,TRUE,0,FALSE,NA,11689,"chr4_70913942_70914298_MLT1A0","MLT1A0","ERVL-MaLR","LTR_or_other",70913942,70914298,"+","upstream",-11689
"ENSG00000286245.1","grey","ENSG00000286245","ENSG00000286245",FALSE,"ENSG00000286245","lncRNA","chr18",79185801,79191559,"-",79191559,5759,TRUE,1,TRUE,"ERVL",777,"chr18_79192337_79192513_MER68","MER68","ERVL","LTR_or_other",79192337,79192513,"-","upstream",-777
"ENSG00000273486.1","blue","ENSG00000273486","ENSG00000273486",FALSE,"ENSG00000273486","lncRNA","chr3",136837338,136839021,"-",136839021,1684,TRUE,0,FALSE,NA,6893,"chr3_136845915_136846223_MLT2D","MLT2D","ERVL","LTR_or_other",136845915,136846223,"+","upstream",-6893
"ENSG00000123416.15","brown","ENSG00000123416","TUBA1B",FALSE,"TUBA1B","protein_coding","chr12",49128880,49131397,"-",49131397,2518,TRUE,0,FALSE,NA,2110,"chr12_49133508_49133695_MER41D","MER41D","ERV1","LTR_or_other",49133508,49133695,"-","upstream",-2110
"ENSG00000158301.20","blue","ENSG00000158301","GPRASP2",FALSE,"GPRASP2","protein_coding","chrX",102712445,102717733,"+",102712445,5289,TRUE,1,TRUE,"ERVL-MaLR",1246,"chrX_102710711_102711198_MLT1D","MLT1D","ERVL-MaLR","LTR_or_other",102710711,102711198,"-","upstream",-1246
"ENSG00000170854.18","brown","ENSG00000170854","RIOX2",FALSE,"RIOX2","protein_coding","chr3",97941818,97972457,"-",97972457,30640,TRUE,0,FALSE,NA,2532,"chr3_97969431_97969924_MER68","MER68","ERVL","LTR_or_other",97969431,97969924,"+","downstream",2532
"ENSG00000147082.18","grey","ENSG00000147082","CCNB3",FALSE,"CCNB3","protein_coding","chrX",50202713,50351914,"+",50202713,149202,TRUE,4,TRUE,"ERV1",247,"chrX_50202388_50202465_MER67A","MER67A","ERV1","LTR_or_other",50202388,50202465,"-","upstream",-247
"ENSG00000278869.1","grey","ENSG00000278869","ENSG00000278869",FALSE,"ENSG00000278869","lncRNA","chr22",49933198,49934074,"-",49934074,877,TRUE,0,FALSE,NA,634,"chr22_49933205_49933439_ERV3-16A3_I-int","ERV3-16A3_I-int","ERVL","internal",49933205,49933439,"-","downstream",634
"ENSG00000269985.2","purple","ENSG00000269985","ENSG00000269985",FALSE,"ENSG00000269985","lncRNA","chr6",5451683,5458075,"-",5458075,6393,TRUE,0,FALSE,NA,2300,"chr6_5460376_5460959_LTR67B","LTR67B","ERVL","LTR_or_other",5460376,5460959,"-","upstream",-2300
"ENSG00000184206.13","grey","ENSG00000184206","GOLGA6L4",FALSE,"GOLGA6L4","protein_coding","chr15",84235773,84245358,"+",84235773,9586,TRUE,0,FALSE,NA,12529,"chr15_84222807_84223243_LTR10G","LTR10G","ERV1","LTR_or_other",84222807,84223243,"+","upstream",-12529
"ENSG00000248923.1","magenta","ENSG00000248923","MTND5P11",FALSE,"MTND5P11","processed_pseudogene","chr5",134924648,134926459,"-",134926459,1812,TRUE,0,FALSE,NA,13614,"chr5_134912340_134912844_MER90","MER90","ERV1","LTR_or_other",134912340,134912844,"-","downstream",13614
"ENSG00000198535.5","violet","ENSG00000198535","C2CD4A",FALSE,"C2CD4A","protein_coding","chr15",62066977,62070917,"+",62066977,3941,TRUE,0,FALSE,NA,9827,"chr15_62056151_62057149_LTR13","LTR13","ERVK","LTR_or_other",62056151,62057149,"+","upstream",-9827
"ENSG00000125730.17","turquoise","ENSG00000125730","C3",FALSE,"C3","protein_coding","chr19",6677704,6730562,"-",6730562,52859,TRUE,0,FALSE,NA,2271,"chr19_6728243_6728290_MLT1D","MLT1D","ERVL-MaLR","LTR_or_other",6728243,6728290,"-","downstream",2271
"ENSG00000086289.12","blue","ENSG00000086289","EPDR1",FALSE,"EPDR1","protein_coding","chr7",37920640,37951936,"+",37920640,31297,TRUE,0,FALSE,NA,13167,"chr7_37933808_37933973_MLT1L","MLT1L","ERVL-MaLR","LTR_or_other",37933808,37933973,"-","downstream",13167
"ENSG00000269736.1","grey","ENSG00000269736","ENSG00000269736",FALSE,"ENSG00000269736","lncRNA","chr19",17452211,17452969,"-",17452969,759,TRUE,0,FALSE,NA,10119,"chr19_17442738_17442849_MLT1K","MLT1K","ERVL-MaLR","LTR_or_other",17442738,17442849,"+","downstream",10119
"ENSG00000149970.16","turquoise","ENSG00000149970","CNKSR2",FALSE,"CNKSR2","protein_coding","chrX",21372801,21654689,"+",21372801,281889,TRUE,0,FALSE,NA,4892,"chrX_21367370_21367908_LTR75B","LTR75B","ERVL","LTR_or_other",21367370,21367908,"-","upstream",-4892
"ENSG00000166033.13","turquoise","ENSG00000166033","HTRA1",FALSE,"HTRA1","protein_coding","chr10",122461553,122514907,"+",122461553,53355,TRUE,0,FALSE,NA,5271,"chr10_122456237_122456281_MER57B1","MER57B1","ERV1","LTR_or_other",122456237,122456281,"+","upstream",-5271
"ENSG00000272711.1","grey","ENSG00000272711","HK2-DT",FALSE,"HK2-DT","lncRNA","chr2",74832655,74833987,"-",74833987,1333,TRUE,0,FALSE,NA,2402,"chr2_74831504_74831584_MER66B","MER66B","ERV1","LTR_or_other",74831504,74831584,"+","downstream",2402
"ENSG00000169704.5","grey","ENSG00000169704","GP9",FALSE,"GP9","protein_coding","chr3",129060779,129062406,"+",129060779,1628,TRUE,2,TRUE,"ERV1;ERVL-MaLR",1754,"chr3_129058926_129059024_MLT1E2","MLT1E2","ERVL-MaLR","LTR_or_other",129058926,129059024,"-","upstream",-1754
"ENSG00000198786.2","grey60","ENSG00000198786","MT-ND5",FALSE,"MT-ND5","protein_coding","chrM",12337,14148,"+",12337,1812,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000289488.1","pink","ENSG00000289488","ENSG00000289488",FALSE,"ENSG00000289488","lncRNA","chr2",158545074,158546205,"+",158545074,1132,TRUE,0,FALSE,NA,6852,"chr2_158551927_158552396_MLT1D","MLT1D","ERVL-MaLR","LTR_or_other",158551927,158552396,"+","downstream",6852
"ENSG00000124702.19","yellow","ENSG00000124702","KLHDC3",FALSE,"KLHDC3","protein_coding","chr6",43014280,43021298,"+",43014280,7019,TRUE,1,TRUE,"ERVL",807,"chr6_43013389_43013472_LTR50","LTR50","ERVL","LTR_or_other",43013389,43013472,"-","upstream",-807
