"gene","module","gene_clean","symbol","is_GenAge","symbol_gtf","gene_type","chromosome","gene_start","gene_end","strand","TSS","gene_length"
"ENSG00000181274.7","brown","ENSG00000181274","FRAT2",FALSE,"FRAT2","protein_coding","chr10",97332497,97334563,"-",97334563,2067
"ENSG00000213711.3","grey","ENSG00000213711","PHBP7",FALSE,"PHBP7","processed_pseudogene","chr9",85898903,85899716,"+",85898903,814
"ENSG00000130522.6","turquoise","ENSG00000130522","JUND",TRUE,"JUND","protein_coding","chr19",18279694,18281622,"-",18281622,1929
"ENSG00000148468.17","darkgrey","ENSG00000148468","FAM171A1",FALSE,"FAM171A1","protein_coding","chr10",15211643,15371289,"-",15371289,159647
"ENSG00000108106.14","red","ENSG00000108106","UBE2S",FALSE,"UBE2S","protein_coding","chr19",55399745,55407788,"-",55407788,8044
"ENSG00000211966.2","paleturquoise","ENSG00000211966","IGHV5-51",FALSE,"IGHV5-51","IG_V_gene","chr14",106578744,106579236,"-",106579236,493
"ENSG00000164385.10","yellow","ENSG00000164385","LINC01600",FALSE,"LINC01600","lncRNA","chr6",2621911,2633792,"-",2633792,11882
"ENSG00000164123.7","grey","ENSG00000164123","C4orf45",FALSE,"C4orf45","protein_coding","chr4",158893134,159038760,"-",159038760,145627
"ENSG00000251600.8","blue","ENSG00000251600","ENSG00000251600",FALSE,"ENSG00000251600","lncRNA","chr4",143559457,144343750,"+",143559457,784294
"ENSG00000282572.3","grey","ENSG00000282572","ENSG00000282572",FALSE,"ENSG00000282572","lncRNA","chr7",19018,35489,"-",35489,16472
"ENSG00000168502.17","yellow","ENSG00000168502","MTCL1",FALSE,"MTCL1","protein_coding","chr18",8705661,8832778,"+",8705661,127118
"ENSG00000198805.12","pink","ENSG00000198805","PNP",FALSE,"PNP","protein_coding","chr14",20468954,20476903,"+",20468954,7950
"ENSG00000135094.11","black","ENSG00000135094","SDS",FALSE,"SDS","protein_coding","chr12",113392445,113426301,"-",113426301,33857
"ENSG00000187791.13","yellow","ENSG00000187791","FAM205C",FALSE,"FAM205C","protein_coding","chr9",34889066,34895764,"-",34895764,6699
"ENSG00000145555.15","brown","ENSG00000145555","MYO10",FALSE,"MYO10","protein_coding","chr5",16661907,16936288,"-",16936288,274382
"ENSG00000119408.17","turquoise","ENSG00000119408","NEK6",FALSE,"NEK6","protein_coding","chr9",124257606,124353307,"+",124257606,95702
"ENSG00000213442.5","magenta","ENSG00000213442","RPL18AP3",FALSE,"RPL18AP3","processed_pseudogene","chr12",104265309,104265836,"+",104265309,528
"ENSG00000124440.16","grey60","ENSG00000124440","HIF3A",FALSE,"HIF3A","protein_coding","chr19",46297042,46343433,"+",46297042,46392
"ENSG00000167676.5","tan","ENSG00000167676","PLIN4",FALSE,"PLIN4","protein_coding","chr19",4502209,4518486,"-",4518486,16278
"ENSG00000272969.1","grey","ENSG00000272969","ENSG00000272969",FALSE,"ENSG00000272969","lncRNA","chr4",55547112,55547889,"+",55547112,778
"ENSG00000156508.19","green","ENSG00000156508","EEF1A1",TRUE,"EEF1A1","protein_coding","chr6",73489308,73525587,"-",73525587,36280
"ENSG00000095970.17","cyan","ENSG00000095970","TREM2",FALSE,"TREM2","protein_coding","chr6",41158506,41163186,"-",41163186,4681
"ENSG00000048462.11","grey","ENSG00000048462","TNFRSF17",FALSE,"TNFRSF17","protein_coding","chr16",11965210,11968068,"+",11965210,2859
"ENSG00000277007.1","blue","ENSG00000277007","ENSG00000277007",FALSE,"ENSG00000277007","lncRNA","chr1",219270774,219273387,"+",219270774,2614
"ENSG00000101292.8","grey","ENSG00000101292","PROKR2",FALSE,"PROKR2","protein_coding","chr20",5299218,5316954,"-",5316954,17737
"ENSG00000177602.5","red","ENSG00000177602","HASPIN",FALSE,"HASPIN","protein_coding","chr17",3723903,3726699,"+",3723903,2797
"ENSG00000258896.1","grey","ENSG00000258896","SCOCP1",FALSE,"SCOCP1","processed_pseudogene","chr14",60158976,60159324,"+",60158976,349
"ENSG00000157119.12","grey","ENSG00000157119","KLHL40",FALSE,"KLHL40","protein_coding","chr3",42685537,42692544,"+",42685537,7008
"ENSG00000196422.11","blue","ENSG00000196422","PPP1R26",FALSE,"PPP1R26","protein_coding","chr9",135479079,135488893,"+",135479079,9815
"ENSG00000189057.11","saddlebrown","ENSG00000189057","FAM111B",FALSE,"FAM111B","protein_coding","chr11",59107185,59127412,"+",59107185,20228
"ENSG00000006016.12","green","ENSG00000006016","CRLF1",FALSE,"CRLF1","protein_coding","chr19",18572608,18607741,"-",18607741,35134
"ENSG00000136378.15","turquoise","ENSG00000136378","ADAMTS7",FALSE,"ADAMTS7","protein_coding","chr15",78759206,78811464,"-",78811464,52259
"ENSG00000074181.9","turquoise","ENSG00000074181","NOTCH3",FALSE,"NOTCH3","protein_coding","chr19",15159038,15200995,"-",15200995,41958
"ENSG00000237828.1","magenta","ENSG00000237828","PA2G4P1",FALSE,"PA2G4P1","processed_pseudogene","chrX",120868611,120869807,"-",120869807,1197
"ENSG00000267567.1","grey","ENSG00000267567","ENSG00000267567",FALSE,"ENSG00000267567","lncRNA","chr19",32718298,32719595,"-",32719595,1298
"ENSG00000238231.2","grey","ENSG00000238231","ENSG00000238231",FALSE,"ENSG00000238231","processed_pseudogene","chr1",27990158,27990524,"-",27990524,367
"ENSG00000211663.2","paleturquoise","ENSG00000211663","IGLV3-19",FALSE,"IGLV3-19","IG_V_gene","chr22",22720623,22721145,"+",22720623,523
"ENSG00000242876.3","grey","ENSG00000242876","RN7SL812P",FALSE,"RN7SL812P","misc_RNA","chr22",20481935,20482213,"-",20482213,279
"ENSG00000137767.14","brown","ENSG00000137767","SQOR",FALSE,"SQOR","protein_coding","chr15",45631148,45691281,"+",45631148,60134
"ENSG00000267336.1","grey","ENSG00000267336","EIF4A2P1",FALSE,"EIF4A2P1","processed_pseudogene","chr18",12912844,12913906,"+",12912844,1063
"ENSG00000253605.1","lightcyan","ENSG00000253605","HNRNPA1P38",FALSE,"HNRNPA1P38","processed_pseudogene","chr8",141459075,141460031,"+",141459075,957
"ENSG00000258851.1","grey","ENSG00000258851","ENSG00000258851",FALSE,"ENSG00000258851","lncRNA","chr14",103553421,103561877,"+",103553421,8457
"ENSG00000251513.2","grey","ENSG00000251513","LIX1-AS1",FALSE,"LIX1-AS1","lncRNA","chr5",97089075,97437217,"+",97089075,348143
"ENSG00000164066.13","blue","ENSG00000164066","INTU",FALSE,"INTU","protein_coding","chr4",127623271,127726737,"+",127623271,103467
"ENSG00000250869.2","grey","ENSG00000250869","ENSG00000250869",FALSE,"ENSG00000250869","unprocessed_pseudogene","chr8",67133554,67135911,"-",67135911,2358
"ENSG00000283632.4","turquoise","ENSG00000283632","EXOC3L2",FALSE,"EXOC3L2","protein_coding","chr19",45212370,45245407,"-",45245407,33038
"ENSG00000183971.10","grey","ENSG00000183971","NPW",FALSE,"NPW","protein_coding","chr16",2009926,2020755,"+",2009926,10830
"ENSG00000261888.1","pink","ENSG00000261888","ENSG00000261888",FALSE,"ENSG00000261888","lncRNA","chr17",83104255,83106910,"+",83104255,2656
"ENSG00000258626.2","grey","ENSG00000258626","COX7A2P1",FALSE,"COX7A2P1","processed_pseudogene","chr14",67652300,67652614,"-",67652614,315
"ENSG00000274775.2","grey","ENSG00000274775","ENSG00000274775",FALSE,"ENSG00000274775","transcribed_unprocessed_pseudogene","chrX",130445085,130524257,"-",130524257,79173
"ENSG00000228513.1","midnightblue","ENSG00000228513","ENSG00000228513",FALSE,"ENSG00000228513","processed_pseudogene","chr2",203061314,203062278,"-",203062278,965
"ENSG00000183386.10","tan","ENSG00000183386","FHL3",FALSE,"FHL3","protein_coding","chr1",37996770,38005606,"-",38005606,8837
"ENSG00000232070.9","grey","ENSG00000232070","TMEM253",FALSE,"TMEM253","protein_coding","chr14",21099015,21101451,"+",21099015,2437
"ENSG00000021355.13","black","ENSG00000021355","SERPINB1",FALSE,"SERPINB1","protein_coding","chr6",2832332,2841959,"-",2841959,9628
"ENSG00000105205.7","grey","ENSG00000105205","CLC",FALSE,"CLC","protein_coding","chr19",39731255,39738029,"-",39738029,6775
"ENSG00000225154.2","grey","ENSG00000225154","TUBAP9",FALSE,"TUBAP9","processed_pseudogene","chr1",47074778,47075979,"-",47075979,1202
"ENSG00000183762.13","blue","ENSG00000183762","KREMEN1",FALSE,"KREMEN1","protein_coding","chr22",29073035,29168333,"+",29073035,95299
"ENSG00000118990.5","brown","ENSG00000118990","GLRXP3",FALSE,"GLRXP3","processed_pseudogene","chr5",161751448,161751768,"-",161751768,321
"ENSG00000101336.18","cyan","ENSG00000101336","HCK",FALSE,"HCK","protein_coding","chr20",32052197,32101856,"+",32052197,49660
"ENSG00000287575.1","lightcyan","ENSG00000287575","ENSG00000287575",FALSE,"ENSG00000287575","lncRNA","chr13",110132003,110136906,"-",110136906,4904
"ENSG00000077092.20","blue","ENSG00000077092","RARB",FALSE,"RARB","protein_coding","chr3",24687887,25597932,"+",24687887,910046
"ENSG00000174715.7","grey","ENSG00000174715","PPIAP72",FALSE,"PPIAP72","processed_pseudogene","chr3",138643874,138644694,"-",138644694,821
"ENSG00000171984.15","brown","ENSG00000171984","SHLD1",FALSE,"SHLD1","protein_coding","chr20",5750393,5864395,"+",5750393,114003
"ENSG00000005844.19","darkturquoise","ENSG00000005844","ITGAL",FALSE,"ITGAL","protein_coding","chr16",30472658,30523567,"+",30472658,50910
"ENSG00000239280.1","grey","ENSG00000239280","ENSG00000239280",FALSE,"ENSG00000239280","processed_pseudogene","chr3",113740823,113741254,"-",113741254,432
"ENSG00000229109.2","tan","ENSG00000229109","ENSG00000229109",FALSE,"ENSG00000229109","lncRNA","chr9",83219288,83238463,"+",83219288,19176
"ENSG00000251518.1","grey","ENSG00000251518","LINC02110",FALSE,"LINC02110","lncRNA","chr5",37948491,37951055,"+",37948491,2565
"ENSG00000230126.1","grey","ENSG00000230126","FGF12-AS2",FALSE,"FGF12-AS2","lncRNA","chr3",192515022,192516573,"+",192515022,1552
"ENSG00000181234.10","green","ENSG00000181234","TMEM132C",FALSE,"TMEM132C","protein_coding","chr12",128267170,128707911,"+",128267170,440742
"ENSG00000182885.17","pink","ENSG00000182885","ADGRG3",FALSE,"ADGRG3","protein_coding","chr16",57668277,57689378,"+",57668277,21102
"ENSG00000188848.17","darkgreen","ENSG00000188848","BEND4",FALSE,"BEND4","protein_coding","chr4",42110853,42152878,"-",42152878,42026
"ENSG00000260062.3","grey","ENSG00000260062","GOLGA2P11",FALSE,"GOLGA2P11","transcribed_unprocessed_pseudogene","chr15",62253730,62270680,"-",62270680,16951
"ENSG00000283426.1","greenyellow","ENSG00000283426","SMBD1P",FALSE,"SMBD1P","transcribed_unitary_pseudogene","chr3",195701618,195711643,"+",195701618,10026
"ENSG00000236138.4","grey","ENSG00000236138","DUX4L26",FALSE,"DUX4L26","processed_pseudogene","chr3",75668931,75670185,"+",75668931,1255
"ENSG00000106003.14","turquoise","ENSG00000106003","LFNG",FALSE,"LFNG","protein_coding","chr7",2512529,2529177,"+",2512529,16649
"ENSG00000074527.13","turquoise","ENSG00000074527","NTN4",FALSE,"NTN4","protein_coding","chr12",95657807,95791152,"-",95791152,133346
"ENSG00000259404.6","grey","ENSG00000259404","EFL1P1",FALSE,"EFL1P1","transcribed_unprocessed_pseudogene","chr15",84080168,84165291,"+",84080168,85124
"ENSG00000130427.3","grey","ENSG00000130427","EPO",FALSE,"EPO","protein_coding","chr7",100720468,100723700,"+",100720468,3233
"ENSG00000261770.1","grey","ENSG00000261770","ENSG00000261770",FALSE,"ENSG00000261770","lncRNA","chr19",27757184,27760849,"-",27760849,3666
"ENSG00000284791.2","grey","ENSG00000284791","SMIM41",FALSE,"SMIM41","protein_coding","chr12",52079704,52083968,"+",52079704,4265
"ENSG00000156219.17","grey","ENSG00000156219","ART3",FALSE,"ART3","protein_coding","chr4",76011184,76112802,"+",76011184,101619
"ENSG00000145703.17","cyan","ENSG00000145703","IQGAP2",FALSE,"IQGAP2","protein_coding","chr5",76403285,76708132,"+",76403285,304848
"ENSG00000246695.9","blue","ENSG00000246695","RASSF8-AS1",FALSE,"RASSF8-AS1","lncRNA","chr12",25936683,25959765,"-",25959765,23083
"ENSG00000196924.19","turquoise","ENSG00000196924","FLNA",FALSE,"FLNA","protein_coding","chrX",154348524,154374594,"-",154374594,26071
"ENSG00000244509.4","turquoise","ENSG00000244509","APOBEC3C",FALSE,"APOBEC3C","protein_coding","chr22",39014257,39020352,"+",39014257,6096
"ENSG00000275091.1","purple","ENSG00000275091","ENSG00000275091",FALSE,"ENSG00000275091","lncRNA","chr19",14006422,14006749,"+",14006422,328
"ENSG00000225331.1","grey","ENSG00000225331","LINC01678",FALSE,"LINC01678","lncRNA","chr21",44158740,44160076,"-",44160076,1337
"ENSG00000211934.3","paleturquoise","ENSG00000211934","IGHV1-2",FALSE,"IGHV1-2","IG_V_gene","chr14",105986582,105987083,"-",105987083,502
"ENSG00000132530.17","turquoise","ENSG00000132530","XAF1",FALSE,"XAF1","protein_coding","chr17",6755448,6771928,"+",6755448,16481
"ENSG00000235021.1","grey","ENSG00000235021","ENSG00000235021",FALSE,"ENSG00000235021","lncRNA","chr1",246690047,246691821,"+",246690047,1775
"ENSG00000261242.1","lightgreen","ENSG00000261242","ENSG00000261242",FALSE,"ENSG00000261242","lncRNA","chr14",63543569,63544664,"+",63543569,1096
"ENSG00000100075.10","brown","ENSG00000100075","SLC25A1",FALSE,"SLC25A1","protein_coding","chr22",19175581,19178736,"-",19178736,3156
"ENSG00000251189.1","grey60","ENSG00000251189","ENSG00000251189",FALSE,"ENSG00000251189","lncRNA","chr5",38682070,38685126,"+",38682070,3057
"ENSG00000137460.10","darkred","ENSG00000137460","FHDC1",FALSE,"FHDC1","protein_coding","chr4",152936323,152979671,"+",152936323,43349
"ENSG00000135443.8","royalblue","ENSG00000135443","KRT85",FALSE,"KRT85","protein_coding","chr12",52360006,52367481,"-",52367481,7476
"ENSG00000258216.7","grey","ENSG00000258216","ENSG00000258216",FALSE,"ENSG00000258216","lncRNA","chr12",89717237,90100763,"+",89717237,383527
"ENSG00000249125.2","grey","ENSG00000249125","ENSG00000249125",FALSE,"ENSG00000249125","lncRNA","chr4",123490242,123522106,"+",123490242,31865
"ENSG00000152315.5","grey","ENSG00000152315","KCNK13",FALSE,"KCNK13","protein_coding","chr14",90061994,90185853,"+",90061994,123860
"ENSG00000120328.6","turquoise","ENSG00000120328","PCDHB12",FALSE,"PCDHB12","protein_coding","chr5",141208697,141212571,"+",141208697,3875
"ENSG00000241947.1","grey","ENSG00000241947","HNRNPA1P24",FALSE,"HNRNPA1P24","processed_pseudogene","chr3",149999645,150000690,"+",149999645,1046
"ENSG00000284713.2","greenyellow","ENSG00000284713","SMIM38",FALSE,"SMIM38","protein_coding","chr11",69155478,69162440,"+",69155478,6963
"ENSG00000287292.1","grey","ENSG00000287292","ENSG00000287292",FALSE,"ENSG00000287292","lncRNA","chr4",148445703,149024624,"+",148445703,578922
"ENSG00000245330.4","purple","ENSG00000245330","ENSG00000245330",FALSE,"ENSG00000245330","lncRNA","chr8",119867419,119874488,"-",119874488,7070
"ENSG00000258501.1","magenta","ENSG00000258501","EIF3LP1",FALSE,"EIF3LP1","processed_pseudogene","chr14",81916231,81917888,"+",81916231,1658
"ENSG00000233041.8","white","ENSG00000233041","PHGR1",FALSE,"PHGR1","protein_coding","chr15",40351033,40356434,"+",40351033,5402
"ENSG00000287562.1","salmon","ENSG00000287562","ENSG00000287562",FALSE,"ENSG00000287562","lncRNA","chr6",44090787,44095585,"-",44095585,4799
"ENSG00000213252.3","magenta","ENSG00000213252","ENSG00000213252",FALSE,"ENSG00000213252","processed_pseudogene","chr11",106826392,106827890,"-",106827890,1499
"ENSG00000234902.6","turquoise","ENSG00000234902","ENSG00000234902",FALSE,"ENSG00000234902","lncRNA","chr2",207186717,207236066,"-",207236066,49350
"ENSG00000125347.15","pink","ENSG00000125347","IRF1",FALSE,"IRF1","protein_coding","chr5",132440440,132508719,"-",132508719,68280
"ENSG00000060566.14","white","ENSG00000060566","CREB3L3",FALSE,"CREB3L3","protein_coding","chr19",4153631,4173054,"+",4153631,19424
"ENSG00000245498.7","blue","ENSG00000245498","ENSG00000245498",FALSE,"ENSG00000245498","lncRNA","chr11",124800707,124834487,"+",124800707,33781
"ENSG00000170381.14","green","ENSG00000170381","SEMA3E",FALSE,"SEMA3E","protein_coding","chr7",83363238,83649139,"-",83649139,285902
"ENSG00000167664.8","grey","ENSG00000167664","TMIGD2",FALSE,"TMIGD2","protein_coding","chr19",4292232,4302431,"-",4302431,10200
"ENSG00000143119.14","cyan","ENSG00000143119","CD53",FALSE,"CD53","protein_coding","chr1",110871188,110899922,"+",110871188,28735
"ENSG00000023909.10","brown","ENSG00000023909","GCLM",TRUE,"GCLM","protein_coding","chr1",93885199,93909456,"-",93909456,24258
"ENSG00000165171.11","green","ENSG00000165171","METTL27",FALSE,"METTL27","protein_coding","chr7",73834590,73842516,"-",73842516,7927
"ENSG00000136111.14","grey","ENSG00000136111","TBC1D4",FALSE,"TBC1D4","protein_coding","chr13",75283503,75482169,"-",75482169,198667
"ENSG00000165300.8","blue","ENSG00000165300","SLITRK5",FALSE,"SLITRK5","protein_coding","chr13",87671641,87696272,"+",87671641,24632
"ENSG00000004948.16","blue","ENSG00000004948","CALCR",FALSE,"CALCR","protein_coding","chr7",93424486,93574730,"-",93574730,150245
"ENSG00000112578.10","brown","ENSG00000112578","BYSL",FALSE,"BYSL","protein_coding","chr6",41921499,41933046,"+",41921499,11548
"ENSG00000175265.18","turquoise","ENSG00000175265","GOLGA8A",FALSE,"GOLGA8A","protein_coding","chr15",34379068,34437808,"-",34437808,58741
"ENSG00000111783.13","lightyellow","ENSG00000111783","RFX4",FALSE,"RFX4","protein_coding","chr12",106583004,106762803,"+",106583004,179800
"ENSG00000248954.1","grey","ENSG00000248954","ENSG00000248954",FALSE,"ENSG00000248954","lncRNA","chr17",49887598,49900893,"+",49887598,13296
"ENSG00000104331.9","brown","ENSG00000104331","BPNT2",FALSE,"BPNT2","protein_coding","chr8",56957931,56993867,"-",56993867,35937
"ENSG00000279419.1","grey","ENSG00000279419","ENSG00000279419",FALSE,"ENSG00000279419","TEC","chr7",124742312,124743884,"-",124743884,1573
"ENSG00000130829.18","grey","ENSG00000130829","DUSP9",FALSE,"DUSP9","protein_coding","chrX",153642492,153651326,"+",153642492,8835
"ENSG00000150051.14","darkgrey","ENSG00000150051","MKX",FALSE,"MKX","protein_coding","chr10",27672874,27746060,"-",27746060,73187
"ENSG00000276593.1","grey","ENSG00000276593","ENSG00000276593",FALSE,"ENSG00000276593","lncRNA","chr15",49353485,49354034,"+",49353485,550
"ENSG00000111834.13","grey","ENSG00000111834","RSPH4A",FALSE,"RSPH4A","protein_coding","chr6",116616479,116632985,"+",116616479,16507
"ENSG00000102452.18","turquoise","ENSG00000102452","NALCN",FALSE,"NALCN","protein_coding","chr13",101053776,101416508,"-",101416508,362733
"ENSG00000100442.11","yellow","ENSG00000100442","FKBP3",FALSE,"FKBP3","protein_coding","chr14",45118028,45135319,"-",45135319,17292
"ENSG00000227502.4","grey","ENSG00000227502","MROCKI",FALSE,"MROCKI","lncRNA","chr6",113868013,113873390,"-",113873390,5378
"ENSG00000230773.9","blue","ENSG00000230773","ENSG00000230773",FALSE,"ENSG00000230773","lncRNA","chr2",47924181,48314224,"-",48314224,390044
"ENSG00000236242.1","black","ENSG00000236242","MYO16-AS1",FALSE,"MYO16-AS1","lncRNA","chr13",109163902,109201483,"-",109201483,37582
"ENSG00000265908.1","grey","ENSG00000265908","ENSG00000265908",FALSE,"ENSG00000265908","lncRNA","chr17",28944796,28945394,"+",28944796,599
"ENSG00000080546.14","grey","ENSG00000080546","SESN1",FALSE,"SESN1","protein_coding","chr6",108984309,109094846,"-",109094846,110538
"ENSG00000129455.15","royalblue","ENSG00000129455","KLK8",FALSE,"KLK8","protein_coding","chr19",50996007,51002507,"-",51002507,6501
"ENSG00000100055.21","cyan","ENSG00000100055","CYTH4",FALSE,"CYTH4","protein_coding","chr22",37282027,37315341,"+",37282027,33315
"ENSG00000175874.10","lightyellow","ENSG00000175874","CREG2",FALSE,"CREG2","protein_coding","chr2",101345550,101387503,"-",101387503,41954
"ENSG00000165389.7","black","ENSG00000165389","SPTSSA",FALSE,"SPTSSA","protein_coding","chr14",34432788,34462240,"-",34462240,29453
"ENSG00000272915.1","grey","ENSG00000272915","ENSG00000272915",FALSE,"ENSG00000272915","lncRNA","chr7",128264526,128264889,"-",128264889,364
"ENSG00000168748.14","grey","ENSG00000168748","CA7",FALSE,"CA7","protein_coding","chr16",66844414,66854153,"+",66844414,9740
"ENSG00000261068.2","royalblue","ENSG00000261068","ENSG00000261068",FALSE,"ENSG00000261068","lncRNA","chr6",42092233,42094259,"-",42094259,2027
"ENSG00000287431.1","brown","ENSG00000287431","RENO1",FALSE,"RENO1","lncRNA","chr17",81339183,81345966,"-",81345966,6784
"ENSG00000259702.3","purple","ENSG00000259702","ENSG00000259702",FALSE,"ENSG00000259702","lncRNA","chr15",96045341,96064357,"-",96064357,19017
"ENSG00000092607.15","grey60","ENSG00000092607","TBX15",FALSE,"TBX15","protein_coding","chr1",118883046,118989556,"-",118989556,106511
"ENSG00000133985.3","grey","ENSG00000133985","TTC9",FALSE,"TTC9","protein_coding","chr14",70641916,70675366,"+",70641916,33451
"ENSG00000076864.21","lightyellow","ENSG00000076864","RAP1GAP",FALSE,"RAP1GAP","protein_coding","chr1",21596221,21669357,"-",21669357,73137
"ENSG00000197063.11","brown","ENSG00000197063","MAFG",FALSE,"MAFG","protein_coding","chr17",81918270,81927735,"-",81927735,9466
"ENSG00000279289.1","blue","ENSG00000279289","ENSG00000279289",FALSE,"ENSG00000279289","TEC","chr6",71386852,71390829,"-",71390829,3978
"ENSG00000280339.1","green","ENSG00000280339","ENSG00000280339",FALSE,"ENSG00000280339","TEC","chr11",86908990,86912238,"-",86912238,3249
"ENSG00000230650.1","salmon","ENSG00000230650","ENSG00000230650",FALSE,"ENSG00000230650","processed_pseudogene","chr2",110360608,110363737,"-",110363737,3130
"ENSG00000123500.10","turquoise","ENSG00000123500","COL10A1",FALSE,"COL10A1","protein_coding","chr6",116118909,116158747,"-",116158747,39839
"ENSG00000143819.13","red","ENSG00000143819","EPHX1",FALSE,"EPHX1","protein_coding","chr1",225810124,225845535,"+",225810124,35412
"ENSG00000204209.13","brown","ENSG00000204209","DAXX",FALSE,"DAXX","protein_coding","chr6",33318558,33323016,"-",33323016,4459
"ENSG00000158816.16","grey60","ENSG00000158816","VWA5B1",FALSE,"VWA5B1","protein_coding","chr1",20290875,20359518,"+",20290875,68644
"ENSG00000172987.13","darkgrey","ENSG00000172987","HPSE2",FALSE,"HPSE2","protein_coding","chr10",98457077,99235862,"-",99235862,778786
"ENSG00000260423.2","blue","ENSG00000260423","LINC02367",FALSE,"LINC02367","lncRNA","chr12",9366542,9400387,"+",9366542,33846
"ENSG00000176225.15","blue","ENSG00000176225","RTTN",FALSE,"RTTN","protein_coding","chr18",70003031,70205700,"-",70205700,202670
"ENSG00000188508.11","royalblue","ENSG00000188508","KRTDAP",FALSE,"KRTDAP","protein_coding","chr19",35487324,35495558,"-",35495558,8235
"ENSG00000259258.1","grey","ENSG00000259258","ENSG00000259258",FALSE,"ENSG00000259258","processed_pseudogene","chr15",65105534,65105800,"+",65105534,267
"ENSG00000064692.20","turquoise","ENSG00000064692","SNCAIP",FALSE,"SNCAIP","protein_coding","chr5",122311691,122464219,"+",122311691,152529
"ENSG00000276550.5","salmon","ENSG00000276550","HERC2P2",FALSE,"HERC2P2","transcribed_unprocessed_pseudogene","chr15",22495570,22590820,"+",22495570,95251
"ENSG00000260171.1","grey","ENSG00000260171","ENSG00000260171",FALSE,"ENSG00000260171","lncRNA","chr2",206821190,206822294,"-",206822294,1105
"ENSG00000140682.19","turquoise","ENSG00000140682","TGFB1I1",FALSE,"TGFB1I1","protein_coding","chr16",31472109,31477960,"+",31472109,5852
"ENSG00000155761.14","yellow","ENSG00000155761","SPAG17",FALSE,"SPAG17","protein_coding","chr1",117953590,118185228,"-",118185228,231639
"ENSG00000232460.4","grey","ENSG00000232460","BMPR1AP2",FALSE,"BMPR1AP2","processed_pseudogene","chr11",121361854,121362865,"-",121362865,1012
"ENSG00000175164.16","turquoise","ENSG00000175164","ABO",FALSE,"ABO","protein_coding","chr9",133233278,133276024,"-",133276024,42747
"ENSG00000137507.11","pink","ENSG00000137507","LRRC32",FALSE,"LRRC32","protein_coding","chr11",76657524,76670747,"-",76670747,13224
"ENSG00000245105.4","blue","ENSG00000245105","A2M-AS1",FALSE,"A2M-AS1","lncRNA","chr12",9065163,9068689,"+",9065163,3527
"ENSG00000260070.1","darkred","ENSG00000260070","ENSG00000260070",FALSE,"ENSG00000260070","lncRNA","chr7",36319775,36320479,"+",36319775,705
"ENSG00000214659.4","grey","ENSG00000214659","KRT8P26",FALSE,"KRT8P26","processed_pseudogene","chr11",65726939,65728214,"+",65726939,1276
"ENSG00000203855.7","grey","ENSG00000203855","HSD3BP4",FALSE,"HSD3BP4","unprocessed_pseudogene","chr1",119564066,119572067,"+",119564066,8002
"ENSG00000005108.17","turquoise","ENSG00000005108","THSD7A",FALSE,"THSD7A","protein_coding","chr7",11370365,11832198,"-",11832198,461834
"ENSG00000136872.21","white","ENSG00000136872","ALDOB",FALSE,"ALDOB","protein_coding","chr9",101420560,101449664,"-",101449664,29105
"ENSG00000204315.4","red","ENSG00000204315","FKBPL",FALSE,"FKBPL","protein_coding","chr6",32128707,32130288,"-",32130288,1582
"ENSG00000277587.1","green","ENSG00000277587","ENSG00000277587",FALSE,"ENSG00000277587","lncRNA","chr19",9721903,9722410,"+",9721903,508
"ENSG00000136379.12","brown","ENSG00000136379","ABHD17C",FALSE,"ABHD17C","protein_coding","chr15",80679684,80755621,"+",80679684,75938
"ENSG00000197747.9","turquoise","ENSG00000197747","S100A10",FALSE,"S100A10","protein_coding","chr1",151982915,151993859,"-",151993859,10945
"ENSG00000235770.6","grey","ENSG00000235770","LINC00607",FALSE,"LINC00607","lncRNA","chr2",215611563,215848954,"-",215848954,237392
"ENSG00000174951.12","blue","ENSG00000174951","FUT1",FALSE,"FUT1","protein_coding","chr19",48748011,48755390,"-",48755390,7380
"ENSG00000229676.3","grey","ENSG00000229676","ZNF492",FALSE,"ZNF492","protein_coding","chr19",22634324,22667671,"+",22634324,33348
"ENSG00000275672.1","grey","ENSG00000275672","ENSG00000275672",FALSE,"ENSG00000275672","lncRNA","chr15",45378744,45380123,"+",45378744,1380
"ENSG00000164556.7","grey","ENSG00000164556","FAM183BP",FALSE,"FAM183BP","processed_pseudogene","chr7",38685346,38687037,"-",38687037,1692
"ENSG00000276984.1","purple","ENSG00000276984","ENSG00000276984",FALSE,"ENSG00000276984","lncRNA","chr16",424243,424543,"-",424543,301
"ENSG00000251455.1","salmon","ENSG00000251455","ENSG00000251455",FALSE,"ENSG00000251455","lncRNA","chr4",151674483,151677893,"+",151674483,3411
"ENSG00000160282.15","blue","ENSG00000160282","FTCD",FALSE,"FTCD","protein_coding","chr21",46136160,46155579,"-",46155579,19420
"ENSG00000100505.14","green","ENSG00000100505","TRIM9",FALSE,"TRIM9","protein_coding","chr14",50975262,51096061,"-",51096061,120800
"ENSG00000065534.20","turquoise","ENSG00000065534","MYLK",FALSE,"MYLK","protein_coding","chr3",123610049,123884332,"-",123884332,274284
"ENSG00000273381.1","blue","ENSG00000273381","ENSG00000273381",FALSE,"ENSG00000273381","lncRNA","chr9",91206175,91210299,"-",91210299,4125
