"erv_fragment_id","chromosome","repeat_start","repeat_end","repeat_length","erv_strand","repName","repFamily","repeat_part","percent_divergence","epigenome_support_n","supporting_epigenomes","supported_in_E100","supported_in_E108","enhancer_states","enhancer_overlap_pair_n","consensus_support"
"chr1_67558387_67558731_LTR16A","chr1",67558387,67558731,345,"-","LTR16A","ERVL","LTR_or_other",24.2,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_67580155_67580544_MLT1B","chr1",67580155,67580544,390,"-","MLT1B","ERVL-MaLR","LTR_or_other",14.6,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_67614122_67614282_MLT1J","chr1",67614122,67614282,161,"-","MLT1J","ERVL-MaLR","LTR_or_other",27.1,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_67614513_67615103_MLT1F2","chr1",67614513,67615103,591,"+","MLT1F2","ERVL-MaLR","LTR_or_other",21.7,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_67626636_67626925_MLT1I","chr1",67626636,67626925,290,"+","MLT1I","ERVL-MaLR","LTR_or_other",33.1,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_68915197_68916094_MER49","chr1",68915197,68916094,898,"+","MER49","ERV1","LTR_or_other",17.2,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_68916095_68916381_MLT1D","chr1",68916095,68916381,287,"+","MLT1D","ERVL-MaLR","LTR_or_other",22,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_69587564_69587950_THE1D","chr1",69587564,69587950,387,"+","THE1D","ERVL-MaLR","LTR_or_other",11.7,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_75710953_75711339_MLT1M","chr1",75710953,75711339,387,"-","MLT1M","ERVL-MaLR","LTR_or_other",29.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_75711412_75711847_LTR64","chr1",75711412,75711847,436,"-","LTR64","ERV1","LTR_or_other",16.3,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_75723328_75723522_LTR9","chr1",75723328,75723522,195,"+","LTR9","ERV1","LTR_or_other",10.3,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_76133711_76134156_MER70C","chr1",76133711,76134156,446,"-","MER70C","ERVL","LTR_or_other",30.9,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_76142235_76142489_MLT1J2","chr1",76142235,76142489,255,"-","MLT1J2","ERVL-MaLR","LTR_or_other",28.3,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_77538901_77538975_LTR54","chr1",77538901,77538975,75,"-","LTR54","ERV1","LTR_or_other",10.7,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_77538950_77539265_LTR54","chr1",77538950,77539265,316,"-","LTR54","ERV1","LTR_or_other",24.7,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_77807606_77807830_MLT1D","chr1",77807606,77807830,225,"-","MLT1D","ERVL-MaLR","LTR_or_other",22.6,1,"E100",TRUE,FALSE,"EnhG1",1,FALSE
"chr1_77983999_77984292_MER57E1","chr1",77983999,77984292,294,"+","MER57E1","ERV1","LTR_or_other",18.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_78053157_78053268_MER90a","chr1",78053157,78053268,112,"+","MER90a","ERV1","LTR_or_other",19.6,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_78053276_78053531_MER90a","chr1",78053276,78053531,256,"+","MER90a","ERV1","LTR_or_other",20.2,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_78302964_78303370_MSTD","chr1",78302964,78303370,407,"+","MSTD","ERVL-MaLR","LTR_or_other",21.3,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_78619197_78619350_MLT1E","chr1",78619197,78619350,154,"+","MLT1E","ERVL-MaLR","LTR_or_other",21.9,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_78623489_78623954_MLT2B3","chr1",78623489,78623954,466,"-","MLT2B3","ERVL","LTR_or_other",25.5,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_79018557_79018983_LTR105_Mam","chr1",79018557,79018983,427,"+","LTR105_Mam","ERVL","LTR_or_other",30.8,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_79019138_79019206_LTR105_Mam","chr1",79019138,79019206,69,"-","LTR105_Mam","ERVL","LTR_or_other",30.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_79019438_79019947_MLT1J","chr1",79019438,79019947,510,"+","MLT1J","ERVL-MaLR","LTR_or_other",33.3,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_8040469_8040876_LTR16A","chr1",8040469,8040876,408,"-","LTR16A","ERVL","LTR_or_other",27.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_8076763_8076940_LTR9D","chr1",8076763,8076940,178,"+","LTR9D","ERV1","LTR_or_other",10.8,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_8113386_8113594_MLT1E3","chr1",8113386,8113594,209,"-","MLT1E3","ERVL-MaLR","LTR_or_other",20.9,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_8113893_8114318_MLT1E3","chr1",8113893,8114318,426,"-","MLT1E3","ERVL-MaLR","LTR_or_other",20.9,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_8119866_8119997_MER34A","chr1",8119866,8119997,132,"+","MER34A","ERV1","LTR_or_other",27.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_8120093_8120352_MER34A","chr1",8120093,8120352,260,"+","MER34A","ERV1","LTR_or_other",24.7,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_8122631_8123171_MER41A","chr1",8122631,8123171,541,"-","MER41A","ERV1","LTR_or_other",8.5,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_8126755_8127117_MLT1A0","chr1",8126755,8127117,363,"+","MLT1A0","ERVL-MaLR","LTR_or_other",16.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_8134745_8135050_LTR33C","chr1",8134745,8135050,306,"-","LTR33C","ERVL","LTR_or_other",27.5,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_8135925_8136400_LTR86A1","chr1",8135925,8136400,476,"-","LTR86A1","ERVL","LTR_or_other",28.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_8141259_8141374_MLT1J","chr1",8141259,8141374,116,"+","MLT1J","ERVL-MaLR","LTR_or_other",21.1,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_8141659_8141689_MLT1J","chr1",8141659,8141689,31,"+","MLT1J","ERVL-MaLR","LTR_or_other",26.3,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_819066_819303_MLT1I","chr1",819066,819303,238,"+","MLT1I","ERVL-MaLR","LTR_or_other",26.7,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_828812_828970_MER41D","chr1",828812,828970,159,"-","MER41D","ERV1","LTR_or_other",24.1,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_830065_830433_MLT1A1","chr1",830065,830433,369,"+","MLT1A1","ERVL-MaLR","LTR_or_other",20.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_83086361_83086499_LTR40a","chr1",83086361,83086499,139,"+","LTR40a","ERVL","LTR_or_other",13,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_83086671_83086929_HERVL40-int","chr1",83086671,83086929,259,"+","HERVL40-int","ERVL","internal",27.5,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_83087038_83088949_HERVL40-int","chr1",83087038,83088949,1912,"+","HERVL40-int","ERVL","internal",28.6,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_831109_831353_LTR78","chr1",831109,831353,245,"-","LTR78","ERV1","LTR_or_other",27.8,1,"E108",FALSE,TRUE,"EnhA1;EnhA2",2,FALSE
"chr1_8350361_8350633_LTR86C","chr1",8350361,8350633,273,"+","LTR86C","ERVL","LTR_or_other",34.4,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_8350662_8350872_LTR86C","chr1",8350662,8350872,211,"+","LTR86C","ERVL","LTR_or_other",30.6,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_836414_836851_LTR16C","chr1",836414,836851,438,"+","LTR16C","ERVL","LTR_or_other",27.7,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_8378394_8378769_MLT1B","chr1",8378394,8378769,376,"+","MLT1B","ERVL-MaLR","LTR_or_other",14.1,2,"E100;E108",TRUE,TRUE,"EnhA1",2,TRUE
"chr1_8401773_8401858_MLT1G","chr1",8401773,8401858,86,"+","MLT1G","ERVL-MaLR","LTR_or_other",25.8,1,"E100",TRUE,FALSE,"EnhG1",1,FALSE
"chr1_8402167_8402532_MLT1G","chr1",8402167,8402532,366,"+","MLT1G","ERVL-MaLR","LTR_or_other",23.7,1,"E100",TRUE,FALSE,"EnhG1",1,FALSE
"chr1_84102414_84103154_MLT1G-int","chr1",84102414,84103154,741,"+","MLT1G-int","ERVL-MaLR","internal",26.5,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_84103160_84103405_MLT1G","chr1",84103160,84103405,246,"+","MLT1G","ERVL-MaLR","LTR_or_other",26.4,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_84103590_84103764_MLT1G","chr1",84103590,84103764,175,"+","MLT1G","ERVL-MaLR","LTR_or_other",25.7,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_8411478_8411727_MLT1H1","chr1",8411478,8411727,250,"+","MLT1H1","ERVL-MaLR","LTR_or_other",28.9,2,"E100;E108",TRUE,TRUE,"EnhA1",2,TRUE
"chr1_84573059_84573407_MER57E1","chr1",84573059,84573407,349,"+","MER57E1","ERV1","LTR_or_other",23.1,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_8506639_8506763_MLT1L","chr1",8506639,8506763,125,"+","MLT1L","ERVL-MaLR","LTR_or_other",21.9,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_85268930_85269293_MSTD","chr1",85268930,85269293,364,"+","MSTD","ERVL-MaLR","LTR_or_other",20.9,1,"E108",FALSE,TRUE,"EnhG1",1,FALSE
"chr1_85279411_85279958_LTR18B","chr1",85279411,85279958,548,"-","LTR18B","ERVL","LTR_or_other",11.9,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_85313279_85313654_MSTD","chr1",85313279,85313654,376,"+","MSTD","ERVL-MaLR","LTR_or_other",20.1,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_85314402_85314613_LTR33","chr1",85314402,85314613,212,"+","LTR33","ERVL","LTR_or_other",24.5,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_85314649_85314772_LTR33","chr1",85314649,85314772,124,"+","LTR33","ERVL","LTR_or_other",26,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_85428211_85428574_THE1B","chr1",85428211,85428574,364,"-","THE1B","ERVL-MaLR","LTR_or_other",8.8,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_85447187_85447475_MLT1M","chr1",85447187,85447475,289,"+","MLT1M","ERVL-MaLR","LTR_or_other",27.7,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_85557615_85558007_MLT1B","chr1",85557615,85558007,393,"+","MLT1B","ERVL-MaLR","LTR_or_other",14.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_85600116_85600486_MSTA","chr1",85600116,85600486,371,"+","MSTA","ERVL-MaLR","LTR_or_other",13.6,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_85822656_85823163_MER31A","chr1",85822656,85823163,508,"+","MER31A","ERV1","LTR_or_other",12.6,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_8599948_8600303_THE1B","chr1",8599948,8600303,356,"+","THE1B","ERVL-MaLR","LTR_or_other",14.6,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_86296334_86297146_MER49","chr1",86296334,86297146,813,"+","MER49","ERV1","LTR_or_other",16.2,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_8652469_8652837_THE1C","chr1",8652469,8652837,369,"-","THE1C","ERVL-MaLR","LTR_or_other",15.3,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_87765441_87765590_LTR16A","chr1",87765441,87765590,150,"+","LTR16A","ERVL","LTR_or_other",23.1,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_8858594_8858733_ERVL-B4-int","chr1",8858594,8858733,140,"+","ERVL-B4-int","ERVL","internal",22.1,2,"E100;E108",TRUE,TRUE,"EnhA2;EnhG2",2,TRUE
"chr1_8858736_8858901_MLT2C1","chr1",8858736,8858901,166,"+","MLT2C1","ERVL","LTR_or_other",24,2,"E100;E108",TRUE,TRUE,"EnhA2;EnhG2",2,TRUE
"chr1_8859195_8859355_MLT2C1","chr1",8859195,8859355,161,"+","MLT2C1","ERVL","LTR_or_other",24,2,"E100;E108",TRUE,TRUE,"EnhA2;EnhG2",2,TRUE
"chr1_88698078_88698269_MER39B","chr1",88698078,88698269,192,"+","MER39B","ERV1","LTR_or_other",20.6,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_88700342_88700814_MER39B","chr1",88700342,88700814,473,"+","MER39B","ERV1","LTR_or_other",16.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_88984668_88985046_LTR37A","chr1",88984668,88985046,379,"+","LTR37A","ERV1","LTR_or_other",20,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_88993843_88993950_MER90","chr1",88993843,88993950,108,"-","MER90","ERV1","LTR_or_other",22.2,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_88993942_88994245_MER90","chr1",88993942,88994245,304,"-","MER90","ERV1","LTR_or_other",23,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_89079689_89080740_MER11B","chr1",89079689,89080740,1052,"+","MER11B","ERVK","LTR_or_other",8.7,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_89127019_89128609_LTR12C","chr1",89127019,89128609,1591,"-","LTR12C","ERV1","LTR_or_other",8.6,2,"E100;E108",TRUE,TRUE,"EnhA2",3,TRUE
"chr1_89272453_89273890_LTR12C","chr1",89272453,89273890,1438,"-","LTR12C","ERV1","LTR_or_other",8,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_89311710_89312152_LTR21B","chr1",89311710,89312152,443,"-","LTR21B","ERV1","LTR_or_other",15.5,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_89608293_89608668_MLT1A","chr1",89608293,89608668,376,"+","MLT1A","ERVL-MaLR","LTR_or_other",19.6,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_89609005_89610837_MER52D","chr1",89609005,89610837,1833,"-","MER52D","ERV1","LTR_or_other",15.9,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",3,TRUE
"chr1_89643383_89643448_LTR37-int","chr1",89643383,89643448,66,"-","LTR37-int","ERV1","internal",19.7,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_89723749_89724339_MLT1G3","chr1",89723749,89724339,591,"-","MLT1G3","ERVL-MaLR","LTR_or_other",23.4,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_89728850_89729141_LTR16D","chr1",89728850,89729141,292,"+","LTR16D","ERVL","LTR_or_other",34.1,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_89729154_89729280_LTR16D","chr1",89729154,89729280,127,"+","LTR16D","ERVL","LTR_or_other",26.4,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_89965440_89965802_MLT1I","chr1",89965440,89965802,363,"+","MLT1I","ERVL-MaLR","LTR_or_other",27.8,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_89965868_89966129_LTR48B","chr1",89965868,89966129,262,"+","LTR48B","ERV1","LTR_or_other",21.8,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_9064554_9064769_LTR56","chr1",9064554,9064769,216,"+","LTR56","ERV1","LTR_or_other",21.4,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_9065072_9065301_LTR56","chr1",9065072,9065301,230,"+","LTR56","ERV1","LTR_or_other",20.3,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_9124260_9125131_MER11D","chr1",9124260,9125131,872,"+","MER11D","ERVK","LTR_or_other",4.6,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",3,TRUE
"chr1_91284876_91285236_THE1B","chr1",91284876,91285236,361,"+","THE1B","ERVL-MaLR","LTR_or_other",13.3,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_91552683_91552882_MLT1J2","chr1",91552683,91552882,200,"-","MLT1J2","ERVL-MaLR","LTR_or_other",26.5,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_91582205_91582319_MLT1L","chr1",91582205,91582319,115,"-","MLT1L","ERVL-MaLR","LTR_or_other",24.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_91582383_91582730_MLT1L","chr1",91582383,91582730,348,"-","MLT1L","ERVL-MaLR","LTR_or_other",26.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_91605107_91605270_MLT1A0","chr1",91605107,91605270,164,"+","MLT1A0","ERVL-MaLR","LTR_or_other",16.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_91803280_91803338_MLT1J","chr1",91803280,91803338,59,"+","MLT1J","ERVL-MaLR","LTR_or_other",25.4,1,"E100",TRUE,FALSE,"EnhA1",1,FALSE
"chr1_91803351_91803641_MLT1J","chr1",91803351,91803641,291,"+","MLT1J","ERVL-MaLR","LTR_or_other",27.2,1,"E100",TRUE,FALSE,"EnhA1;EnhA2",2,FALSE
"chr1_91826428_91826562_MLT1L","chr1",91826428,91826562,135,"+","MLT1L","ERVL-MaLR","LTR_or_other",25.6,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_9272285_9272408_MLT1K","chr1",9272285,9272408,124,"+","MLT1K","ERVL-MaLR","LTR_or_other",30.6,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_92860002_92860192_LTR82A","chr1",92860002,92860192,191,"+","LTR82A","ERVL","LTR_or_other",21.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_92860376_92860507_LTR82A","chr1",92860376,92860507,132,"+","LTR82A","ERVL","LTR_or_other",24.1,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_92950978_92951633_MLT1E2","chr1",92950978,92951633,656,"+","MLT1E2","ERVL-MaLR","LTR_or_other",19.5,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_92951634_92951760_LTR78B","chr1",92951634,92951760,127,"-","LTR78B","ERV1","LTR_or_other",27.6,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_93014572_93014922_MLT1J","chr1",93014572,93014922,351,"-","MLT1J","ERVL-MaLR","LTR_or_other",24.6,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_93015227_93015325_MLT1J","chr1",93015227,93015325,99,"-","MLT1J","ERVL-MaLR","LTR_or_other",24.6,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
"chr1_9302227_9302644_MLT2B5","chr1",9302227,9302644,418,"+","MLT2B5","ERVL","LTR_or_other",14.6,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_9302649_9303809_ERVL-int","chr1",9302649,9303809,1161,"+","ERVL-int","ERVL","internal",16.1,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_93164769_93165283_MLT1F2","chr1",93164769,93165283,515,"+","MLT1F2","ERVL-MaLR","LTR_or_other",19.9,2,"E100;E108",TRUE,TRUE,"EnhA1",2,TRUE
"chr1_93358195_93358866_LTR50","chr1",93358195,93358866,672,"+","LTR50","ERVL","LTR_or_other",24,1,"E108",FALSE,TRUE,"EnhG1",1,FALSE
"chr1_93594275_93594640_MLT1J","chr1",93594275,93594640,366,"+","MLT1J","ERVL-MaLR","LTR_or_other",23,2,"E100;E108",TRUE,TRUE,"EnhA1",2,TRUE
"chr1_93599070_93599324_MLT1K","chr1",93599070,93599324,255,"+","MLT1K","ERVL-MaLR","LTR_or_other",30.1,2,"E100;E108",TRUE,TRUE,"EnhA1",2,TRUE
"chr1_93599357_93599438_MLT1K","chr1",93599357,93599438,82,"+","MLT1K","ERVL-MaLR","LTR_or_other",30.5,2,"E100;E108",TRUE,TRUE,"EnhA1",2,TRUE
"chr1_93729527_93729828_LTR16A","chr1",93729527,93729828,302,"-","LTR16A","ERVL","LTR_or_other",26,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_93880042_93880181_MLT1J","chr1",93880042,93880181,140,"+","MLT1J","ERVL-MaLR","LTR_or_other",29.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_93968036_93968814_MER21C","chr1",93968036,93968814,779,"-","MER21C","ERVL","LTR_or_other",22.2,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_93970197_93970544_MLT1A0","chr1",93970197,93970544,348,"-","MLT1A0","ERVL-MaLR","LTR_or_other",18.4,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_94099035_94099499_MLT1D","chr1",94099035,94099499,465,"+","MLT1D","ERVL-MaLR","LTR_or_other",20.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_94155320_94155725_MLT1A1","chr1",94155320,94155725,406,"+","MLT1A1","ERVL-MaLR","LTR_or_other",18.6,1,"E108",FALSE,TRUE,"EnhA1;EnhA2",2,FALSE
"chr1_94199398_94199875_MER74B","chr1",94199398,94199875,478,"+","MER74B","ERVL","LTR_or_other",24.9,1,"E100",TRUE,FALSE,"EnhG1",1,FALSE
"chr1_94295944_94296038_LTR33","chr1",94295944,94296038,95,"-","LTR33","ERVL","LTR_or_other",31.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_94323735_94324205_MER39","chr1",94323735,94324205,471,"+","MER39","ERV1","LTR_or_other",22.8,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_9437240_9437530_MLT1A1","chr1",9437240,9437530,291,"+","MLT1A1","ERVL-MaLR","LTR_or_other",16.6,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",2,TRUE
"chr1_9440380_9440741_MSTD","chr1",9440380,9440741,362,"-","MSTD","ERVL-MaLR","LTR_or_other",16.9,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_9447861_9448003_LTR78","chr1",9447861,9448003,143,"+","LTR78","ERV1","LTR_or_other",27.7,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_9448313_9448422_LTR78","chr1",9448313,9448422,110,"+","LTR78","ERV1","LTR_or_other",27.7,2,"E100;E108",TRUE,TRUE,"EnhA1;EnhA2",3,TRUE
"chr1_9448737_9448834_LTR78","chr1",9448737,9448834,98,"+","LTR78","ERV1","LTR_or_other",29.6,1,"E100",TRUE,FALSE,"EnhA1",1,FALSE
"chr1_94690495_94690836_MLT1L","chr1",94690495,94690836,342,"-","MLT1L","ERVL-MaLR","LTR_or_other",31.9,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_94728080_94728511_LTR33","chr1",94728080,94728511,432,"-","LTR33","ERVL","LTR_or_other",23.8,1,"E108",FALSE,TRUE,"EnhA1;EnhA2",2,FALSE
"chr1_94734096_94734890_MER4E1","chr1",94734096,94734890,795,"+","MER4E1","ERV1","LTR_or_other",6.6,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_94734960_94735069_MLT1O","chr1",94734960,94735069,110,"-","MLT1O","ERVL-MaLR","LTR_or_other",21.1,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_9473645_9474051_MLT1C","chr1",9473645,9474051,407,"-","MLT1C","ERVL-MaLR","LTR_or_other",24.1,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_94784676_94785080_MSTA","chr1",94784676,94785080,405,"+","MSTA","ERVL-MaLR","LTR_or_other",13.7,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_94803825_94803898_MLT1B","chr1",94803825,94803898,74,"-","MLT1B","ERVL-MaLR","LTR_or_other",23,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_94929428_94930120_MER50","chr1",94929428,94930120,693,"-","MER50","ERV1","LTR_or_other",14.2,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_94939279_94939654_MLT1A1","chr1",94939279,94939654,376,"+","MLT1A1","ERVL-MaLR","LTR_or_other",14,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_94946548_94947009_MLT1J","chr1",94946548,94947009,462,"-","MLT1J","ERVL-MaLR","LTR_or_other",30.6,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_94947019_94947267_MLT1O","chr1",94947019,94947267,249,"+","MLT1O","ERVL-MaLR","LTR_or_other",28,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_94955294_94955331_MLT1H2","chr1",94955294,94955331,38,"-","MLT1H2","ERVL-MaLR","LTR_or_other",15.8,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_94955646_94956133_MLT1H","chr1",94955646,94956133,488,"-","MLT1H","ERVL-MaLR","LTR_or_other",25.5,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_94974721_94975013_MLT1G","chr1",94974721,94975013,293,"-","MLT1G","ERVL-MaLR","LTR_or_other",24.2,2,"E100;E108",TRUE,TRUE,"EnhA2",2,TRUE
"chr1_95250112_95250289_LTR33B","chr1",95250112,95250289,178,"-","LTR33B","ERVL","LTR_or_other",29.7,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_95250622_95250835_ERVL-E-int","chr1",95250622,95250835,214,"-","ERVL-E-int","ERVL","internal",27.4,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_95250867_95251346_ERVL-E-int","chr1",95250867,95251346,480,"-","ERVL-E-int","ERVL","internal",28.8,1,"E108",FALSE,TRUE,"EnhA2",1,FALSE
"chr1_95251642_95252883_ERVL-E-int","chr1",95251642,95252883,1242,"-","ERVL-E-int","ERVL","internal",29.2,1,"E108",FALSE,TRUE,"EnhG1",1,FALSE
"chr1_96416048_96416378_MLT1J2","chr1",96416048,96416378,331,"-","MLT1J2","ERVL-MaLR","LTR_or_other",30.5,1,"E108",FALSE,TRUE,"EnhA1",1,FALSE
"chr1_96526163_96526614_LTR8","chr1",96526163,96526614,452,"+","LTR8","ERV1","LTR_or_other",17,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
"chr1_96560183_96560772_LTR26","chr1",96560183,96560772,590,"+","LTR26","ERV1","LTR_or_other",14.6,1,"E100",TRUE,FALSE,"EnhA2",1,FALSE
